文件名稱         ,頁碼 ,內容類型   ,內容
0101 (5).pdf     , 123 ,Opinion by ,Opinion by: FREEMAN
0101 (5).pdf     , 130 ,Counsel    ,"Counsel:  [**1]  Plaintiffs' counsel:
                                    Charles A. Bane, Robert F. Hanley, Thomas L. Nicholson, Richard E. Powell, Isham, Lincoln & Beale, Max Swiren,
                                    Neil Flanagin, Chicago, Ill., for Commonwealth Edison Co. and Commonwealth wealth Edison Co. of Indiana, Inc.
                                    Rodney A. Dunnette, City Atty., Austin, Edison Co. of Indiana, Inc.  Ill., for Austin Utilities and City of Austin, Minn.
                                    Robert W. Bergstrom, Bergstrom & Brizius, Chicago, Ill., H.R. Hanley, William G. Porter, Hanley, Costello & Porter,
                                    Rapid City, S.D., for Black Hills Power & Light Co.
                                    George H. Jirgal, Chapman & Cutler, Chicago, Ill., for Central Illinois Electric & Gas Co. and Iowa Electric Light &
                                    Power Co.
                                    Harry E. Witherell, Davis, Morgan & Witherell, Peoria, Ill., for Central Illinois Light Co.
                                    211 F. Supp. 712, *712; 1962 U.S. Dist. LEXIS 5492, **5492
                                    
                                    
                                    Ove B. Dendtler, Stevenson, Dendtler & McCabe, Chicago, Ill., for Central Illinois Public Service Co.
                                    John C. Melaniphy, Chicago, Ill. (Seymour F. Simon, Chicago, Ill., Charles S. Rhyne, Brice W. Rhyne, Lenox G.
                                    Cooper, Rhyne & Rhyne, Washington, D.C., of counsel), for City of Chicago, Ill.
                                    Paul C. Holmberg, City Atty., Ernest G. Kroger, Grand Island, Neb., Seymour F. Simon, Chicago, Ill., Charles S.
                                    Rhyne, Brice W. Rhyne, Lenox [**2]  G. Cooper, Rhyne & Rhyne, Washington, D.C., for City of Grand Island, Neb.
                                    James M. Yrne, Highland, Ill., Seymour F. Simon, Chicago, Ill. (Charles S. Rhyne, Brice W. Rhyne, Lenox G.
                                    Cooper, Rhyne & Rhyne, Washington, D.C., of counsel), for City of Highland, Ill.
                                    W. P. Gilbert, K. F. Montgomery, G. E. Hale, V. T. Squires, Wilson & McIlvaine, Robert W. Bergstrom, Bergstrom &
                                    Brizius, Chicago, Ill., for Illinois Power Co.
                                    Seymour F. Simon, Chicago, Ill., Ed. S. Carroll, Independence, Mo. (Gilbert R. Titus, Independence, Mo., Rhyne &
                                    Rhyne, Charles S. Rhyne, Washington, D.C., of counsel), for City of Independence, Mo.
                                    Daniel P. Ward, Edward E. Plusdrak, Thomas A. Hett, Chicago, Ill. (Ronald W. Olson, Chicago, Ill., of counsel), for
                                    Cook County, Ill.
                                    James O. Smith, Clement F. Springer, Springer & Smith, Chicago, Ill., for Interstate Power Co.
                                    William B. Waterman, Walter S. Rogowski, Davenport, Iowa, for Iowa-Illinois Gas & Electric Co.
                                    Howard A. Steele, Bradshaw, Fowler, Proctor & Fairgrave, Des Moines, Iowa, for Iowa Power & Light Co.
                                    Robert W. Bergstrom, Bergstrom & Brizius, Chicago, Ill., Robert Valentine, Valentine, Greenleaf & Griffing,
                                    Centerville, Iowa, for Iowa [**3]  Southern Utilities Co.
                                    Thomas C. Rose, City Atty., Jacksonville, Ill., Orville N. Foreman, Robinson, Foreman, Rammelkamp, Bradney &
                                    Hall, Jacksonville, Ill., Barnabas F. Sears, Lloyd J. Tyler, Jr., Sears, Streit, Tyler & Dreyer, Chicago, Ill., for City of
                                    Jacksonville, Ill.
                                    Clemence A. Nordhoff, Jasper, Ind. (Seymour F. Simon, Chicago, Ill., of counsel), for City of Jasper, Ind.
                                    Glen H. Bell, George G. Blake, Aberg, Bell, Blake & Metzner, Madison, Wis., Robert W. Bergstrom, Bergstrom &
                                    Brizius, Chicago, Ill., for Lake Superior Dist. Power Co.
                                    Ralph D. Nelson, City Atty., Lincoln, Neb. (Seymour F. Simon, Chicago, Ill., Charles S. Rhyne, Brice W. Rhyne,
                                    Lenox G. Cooper, Rhyne & Rhyne, Washington, D.C., of counsel), for City of Lincoln, Neb.
                                    William T. Rieser, Rieser, Stafford, Rosenbaum & Smith, Madison, Wis., Robert W. Bergstrom, Bergstrom &
                                    Brizius, Chicago, Ill., for Madison Gas & Electric Co.
                                    Thomas C. McConnell, Herbert C. Paschen, Francis J. McConnell, Chicago, Ill. (George A. Lane, Chicago, Ill., of
                                    counsel), for Metropolitan Sanitary Dist. of Greater Chicago.
                                    John J. Fleming, City Atty., George A. Bowman, Jr., Asst. City Atty., Milwaukee, Wis. (Seymour F. Simon,  [**4]
                                    Chicago, Ill., Rhyne & Rhyne, Charles S. Rhyne, Brice W. Rhyne, Lenox G. Cooper, Washington, D.C., of counsel),
                                    for City of Milwaukee.
                                    C. J. Rosenberger, Muscatine, Iowa, Seymour F. Simon, Chicago, Ill. (Charles S. Rhyne, Brice W. Rhyne, Lenox G.
                                    Cooper, Rhyne & Rhyne, Washington, D.C., of counsel), for Board of Water and Light Trustees of City of
                                    Muscatine, Iowa.
                                    John C. Lawyer, Lawyer, Friedrich, Petrie & Tweedle, Hammond, Ind., for Northern Indiana Public Service Co.
                                    Robert W. Bergstrom, Bergstrom & Brizius, Chicago, Ill., Donald E. Nelson, Gen. Counsel, N.S.P. Co., Minneapolis,
                                    Minn., for Northern States Power Co. (a Minnesota corporation) and Northern States Power Co. (a Wisconsin
                                    Corporation).
                                    Robert W. Bergstrom, Bergstrom & Brizius, Chicago, Ill., Ralph Mauch, Huron, S.D., for Northwestern Public
                                    Service Co.
                                    211 F. Supp. 712, *712; 1962 U.S. Dist. LEXIS 5492, **1
                                    
                                    
                                    Robert W. Bergstrom, Bergstrom & Brizius, Chicago, Ill., Cyrus A. Field, Field, Arvesen, Donoho & Lundeen, Fergus
                                    Falls, Minn., for Otter Tail Power Co.
                                    Paul G. Jasper, Plainfield, Ind., for Public Service Co. of Indiana, Inc.
                                    Andrew C. Cecere, City atty., Richmond, Ind., Seymour F. Simon, Chicago, Ill., for City of Richmond, Ind.
                                    I. J. Feuer, Sp. Counsel,  [**5]  Springfield, Ill. (Seymour F. Simon, Chicago, Ill., Charles S. Rhyne, Brice W. Rhyne,
                                    Lenox G. Cooper, Rhyne & Rhyne, Washington, D.C., of counsel), for City of Springfield, Ill.
                                    J. Weston Miller, Miller, Fairman, Sanford, Carr & Lowther, Ralph E. Hunt, City Atty., Springfield, Mo., Seymour F.
                                    Simon, Chicago, Ill. (Charles S. Rhyne, Rhyne & Rhyne, Washington, Ill., Rhyne & Rhyne, Charles S. Mo.
                                    James Messer, Jr., City Atty., Tallahassee, Fla. (Seymour F. Simon, Chicago, Ill., Rhne & Rhyne, Charles S.
                                    Rhyne, Brice W. Rhyne, Lenox G. Cooper, Washington, D.C., of counsel) for City of Tallahassee, Fla.
                                    Lee A. Freeman, Sp. Counsel, James J. Costello, Legal Counsel, James E. Harmon, Asst. Legal Counsel, Chicago,
                                    Ill., for Board of Trustees of University of Illinois.
                                    Martin R. Paulsen, Van B. Wake, John G. Quale, Paulsen, Wake & Prosser, Milwaukee, Wis. (Richard K. Decker,
                                    Lord, Bissell & Brook, Chicago, Ill., of counsel), for Wisconsin Electric Power Co. and Wisconsin Michigan Power
                                    Co.
                                    R. J. Sutherland, Ralph E. Axley, Petersen, Sutherland, Axley & Brynelson, Madison, Wis., Robert W. Bergstrom,
                                    Bergstrom & Brizius, Chicago, Ill., for Wisconsin Power & Light Co.
                                    William J. Froelich,  [**6]  Jacob I. Grossman, Seymour Tabin, Froelich, Grossman, Teton & Tabin, Chicago, Ill., for
                                    Wisconsin Public Service Corp.
                                    William G. Clark, Atty. Gen. of Illinois, Lee A. Freeman, Sp. Asst. Atty. Gen., of Illinois, Edward H. Marsalek, Asst.
                                    Atty. Gen. of Illinois, Chicago, Ill., for State of Illinois, for itself, its Agencies and Public Institutions and People of
                                    State of Illinois, intervenor-plaintiff.
                                    Defendants' counsel:
                                    Hammond E. Chaffetz, John C. Butler, William H. Van Oosterhout, William R. Jentes, Kirkland, Ellis, Hodson,
                                    Chaffetz & Masters, Chicago, Ill., for Westinghouse Electric Corp.
                                    John T. Chadwell, Richard M. Keck, Snyder, Chadwell, Keck, Kayser & Ruggles, Chicago, Ill., for General Electric
                                    Co.
                                    Holmes Baldridge, Stiefel, Greenberg, Burns & Baldridge, Chicago, Ill., for Allis-Chalmers Mfg. Co.
                                    John Paul Stevens, Norman J. Barry, M. I. Mishkin, Richard L. McIntire, Rothschild, Hart, Stevens & Barry,
                                    Chicago, Ill., for A. B. Chance Co.
                                    Edward R. Johnston, Thompson, Raymond, Mayer, Jenner & Bloomstein, Chicago, Ill., for Allen-Bradley Co., Clark
                                    Controller Co., Cutler-Hammer, Inc., Lapp Insulator Co., McGraw-Edison Co., Ohio Brass Co. and Square D Co.
                                    Charles [**7]  M. Price, Robert C. Keck, Valentine A. Weber, Jr., MacLeish, Spray, Price & Underwood, Chicago,
                                    Ill., for Carrier Corp. and C. H. Wheeler Mfg. Co.
                                    Earl E. Pollock, Frederic S. Lane, Sonnenschein, Lautmann, Levinson, Rieser, Carlin & Nath, Chicago, Ill., Jacob
                                    Imberman, Proskauer, Rose, Goetz & Mendelsohn, New York City, for Cornell-Dubilier Electric Corp. and Federal
                                    Pacific Electric Co.
                                    John Paul Stevens, Norman J. Barry. M. I. Mishkin, Richard L. McIntire, Rothschild, Hart, Stevens & Barry,
                                    Chicago, Ill., Lester Kissel, Meyer, Kissel, Matz & Seward, New York City (E. F. Wentworth, Jr., New York City, of
                                    counsel), for Foster Wheeler Corp.
                                    Neil McKay, Winston, Strawn, Smith & Patterson, Chicago, Ill., for Hubbard & Co.
                                    Timothy G. Lowry, Owen Rall, Elroy C. Sandquist, Jr., Peterson, Lowry, Rall, Barber & Ross, Chicago, Ill., Owen
                                    Brooke Rhoads, Barnes, Dechert, Price, Myers & Rhoads, Philadelphia, Pa., for I-T-E Circuit Breaker Co.
                                    211 F. Supp. 712, *712; 1962 U.S. Dist. LEXIS 5492, **4
                                    
                                    
                                    Harold T. Halfpenny, Halfpenny, Hahn & Ryan, Chicago, Ill., Joseph W. Burns, Austin, Burns, Appell & Smith, New
                                    York City, for Ingersoll-Rand Co.
                                    Roland D. Whitman, Joseph A. Conerty, Ross, McGowan & O'Keefe, Chicago, Ill., for Joslyn Mfg. & Supply [**8]
                                    Co. and Porcelain Insulator Corp.
                                    Lloyd M. McBride, McBride, Baker, Wienke & Schlosser, Chicago, Ill., for Kuhlman Electric Co.
                                    W. Donald McSweeney, Mitchell S. Rieger, John A. Pigott, Dallstream, Schiff, Hardin, Waite & Dorschel, Chicago,
                                    Ill., William H. Ferrell, Keefe, Schlafly, Griesedieck & Ferrell, St. Louis, Mo., for Moloney Electric Co.
                                    Jacob H. Martin, Sydney G. Craig, Martin Bogot, Martin, Craig, Chester & Sonnenschein, Chicago, Ill., for H. K.
                                    Porter Co., Inc.
                                    W. Donald McSweeney, Mitchell S. Rieger, John A. Pigott, Dallstream, Schiff, Hardin, Waite & Dorschel, Chicago,
                                    Ill., for Sangamo Electric Co.
                                    John Paul Stevens, Norman J. Barry, M. I. Mishkin, Richard L. McIntire, Rothschild, Hart, Stevens & Barry,
                                    Chicago, Ill., Norman A. Stoll, Reinhardt, Coblens & Stoll, Portland, Or., for Schwager-Wood Corp.
                                    Edward R. Adams, Miller, Gorham, Wescott & Adams, Chicago, Ill. (Mac Asbill, Sutherland, Asbill & Brennan,
                                    Washington, D.C., of counsel), for Southern States, Inc. (f/k/a Southern States Equipment Corp.).
                                    W. Donald McSweeney, Dallstream, Schiff, Hardin, Waite & Dorschel, Chicago, Ill., R. Walston Chubb, Philip A.
                                    Maxeiner, Robert S. Allen, Lewis, Rice, Tucker,  [**9]  Allen & Chubb, St. Louis, Mo., for Wagner Electric Corp.
                                    Brainerd Chapman, Chicago, Ill., Gallop, Climenko & Gould, New York City, for Worthington Corp."
0101 (5).pdf     , 133 ,Opinion by ,Opinion by: ROBSON
0101 (5).pdf     , 154 ,Counsel    ,"Counsel: Daniel M. Friedman argued the cause for the United States.  With him on the briefs were Solicitor
                                    General Cox, Assistant Attorney General Loevinger, Lionel Kestenbaum and Richard A. Solomon.
                                    Louis Nizer argued [****3]  the cause for Loew's Incorporated et al., appellees in No. 42 and appellants in No. 43.
                                    With him on the briefs was Benjamin Melniker.
                                    Myles J. Lane argued the cause and filed briefs for Screen Gems, Inc., appellee in No. 42 and appellant in No. 43.
                                    With him on the briefs was Everett A. Frohlich.
                                    Mervin C. Pollak argued the cause and filed briefs for C & C Super Corp., appellee in No. 42 and appellant in No.
                                    44.
                                    Justin M. Golenbock argued the cause for National Telefilm Associates, Inc., appellee in No. 42.  With him on the
                                    brief were Russell S. Knapp and Seymour Shainswit."
0101 (5).pdf     , 154 ,Judges     ,"Judges: Warren, Black, Douglas, Clark, Harlan, Brennan, Stewart, White, Goldberg"
0101 (5).pdf     , 154 ,Opinion by ,Opinion by: GOLDBERG
0101 (5).pdf     , 163 ,Counsel    ,"Counsel:  [**1]  W. A. Keleher and John Tittmann, Albuquerque, N.M., Turner, White, Atwood, Meer & Francis,
                                    Dallas, Tex., for plaintiff.
                                    Iden & Johnson, by Bryan G. Johnson, Albuquerque, N.M., Reinhardt, Coblens & Stoll, Portland, Or., for defendant
                                    Schwager-Wood Corp.
                                    C. R. McIntosh, Santa Fe, N.M., and Proskauer, Rose, Goetz & Mendelsohn, New York City, for defendant Federal
                                    Pacific Elec. Co.
                                    Rodey, Dickason, Sloan, Akin & Robb, Albuquerque, N.M., for defendant General Elec. Co.
                                    Grantham, Spann & Sanchez, Albuquerque, N.M., for defendant I-T-E Circuit Breaker Co.
                                    Iden & Johnson, Albuquerque, N.M., for defendant Joselyn Mfg. & Supply Co.
                                    Modrall, Seymour, Sperling, Roehl & Harris, Albuquerque, N.M., and Dawson, Nagel, Sherman & Howard, Denver,
                                    Colo., for defendant H. K. Porter Co., Inc.
                                    Iden & Johnson, Albuquerque, N.M., and Sutherland, Asbill & Brennan, Washington, D.C., for defendant Southern
                                    States, Inc. (formerly Southern States Equipment Corp.).
                                    Atwood & Malone, Roswell, N.M., for defendant Westinghouse Elec. Corp."
0101 (5).pdf     , 164 ,Opinion by ,Opinion by: ROGERS
0101 (5).pdf     , 168 ,Counsel    ,"Counsel:  [**1]  Rawlings, Wallace, Roberts & Black, Salt Lake City, Utah, Joseph L. Alioto, San Francisco, Cal.,
                                    for plaintiffs.
                                    Van Cott, Bagley, Cornwall & McCarthy, Salt Lake City, Utah, for defendants."
0101 (5).pdf     , 168 ,Opinion by ,Opinion by: CHRISTENSEN
0101 (5).pdf     , 177 ,Counsel    ,"Counsel:  [**1]  Donald G. Balthis, Dept. of Justice, Antitrust Division, Philadelphia, Pa., for United States.
                                    Philip Price, Philadelphia, Pa., for defendant, I-T-E Circuit Breaker Co."
0101 (5).pdf     , 177 ,Opinion by ,Opinion by: GANEY
0101 (5).pdf     , 179 ,Counsel    ,"Counsel:  [**1]  Elliott I. Pollock, Washington, D.C., with whom Paul V. Power, Boston, Mass., was on brief, for
                                    Convertible Top Replacement Co., Inc.
                                    Charles Hieken, Boston, Mass., with whom David Wolf and Ezekiel Wolf, Wolf & Greenfield, Boston, Mass., were
                                    on brief, for Aro Mfg. Co., Inc., et al."
0101 (5).pdf     , 180 ,Judges     ,"Judges: Before WOODBURY, Chief Judge, and HARTIGAN and ALDRICH, Circuit Judges."
0101 (5).pdf     , 180 ,Opinion by ,Opinion by: WOODBURY
0101 (5).pdf     , 188 ,Counsel    ,"Counsel: S. Walter Foulkrod, Jr., for appellants.
                                    William T., Coleman, Jr., with him Harold E. Kohn, Aaron M. Fine, Bruce W. Kauffman, Leonard M. Sagot, and
                                    Dilworth, Paxson, Kalish, Kohn & Dilks, for appellee.
                                    Milton W. Lamproplos, I. Leonard Greenwald, and Eckert, Seamans & Cherin, for interested persons."
0101 (5).pdf     , 188 ,Judges     ,"Judges: Before BELL, C.J., MUSMANNO, JONES, COHEN, EAGEN, O'BRIEN and KEIM, JJ."
0101 (5).pdf     , 188 ,Opinion by ,Opinion by: COHEN
0101 (5).pdf     , 192 ,Counsel    ,"Counsel: Pickering & Marler, Brobeck, Phleger & Harrison, Moses Lasky and J. Ernest Harty, Jr., for Plaintiff and
                                    Appellant.
                                    Halpin, Halpin & Leep, Ben Leep, Sydney Halpin, Leep & Saunders, Garry, Dreyfus & McTernan and Benjamin
                                    Dreyfus for Defendants and Appellants."
0101 (5).pdf     , 193 ,Judges     ,"Judges: Van Dyke, J.  * Pierce, P. J., and Schottky, J., concurred."
0101 (5).pdf     , 193 ,Opinion by ,Opinion by: VAN DYKE
0101 (5).pdf     , 204 ,Counsel    ,"Counsel:  [****3]  Gerhard A. Gesell argued the cause for appellant.  With him on the briefs were Rufus S. Day, Jr.
                                    and Nestor S. Foley.
                                    Solicitor General Cox argued the cause for the United States.  With him on the brief were Assistant Attorney
                                    General Loevinger and Robert B. Hummel.
                                    Briefs of amici curiae were filed by Sigmund Timberg for Serta Associates, Inc., et al., and by John Bodner, Jr. for
                                    the Sandura Company."
0101 (5).pdf     , 204 ,Judges     ,"Judges: Warren, Black, Douglas, Clark, Harlan, Brennan, Stewart, Goldberg; White took no part in the
                                    consideration or decision of this case"
0101 (5).pdf     , 204 ,Opinion by ,Opinion by: DOUGLAS
0101 (5).pdf     , 220 ,Counsel    ,"Counsel:  [**1]  Breck P. McAllister, New York City, with whom Morton Myerson, Boston, Mass., Roger J. Hawke,
                                    Frank G. Dawson, New York City, Malloy, Sullivan & Myerson, Boston, Mass., and Donovan, Leisure, Newton &
                                    Irvine, New York City, were on brief, for appellant.
                                    Ralph M. Carson, New York City, with whom Robert Proctor, Boston, Mass., Theodore Kiendl, New York City,
                                    Robert D. Salinger, John B. Reigeluth, Boston, Mass., and Louis L. Stanton, Jr., New York City, were on brief, for
                                    appellee."
0101 (5).pdf     , 221 ,Judges     ,"Judges: Before WOODBURY, Chief Judge, and HARTIGAN and ALDRICH, Circuit judges."
0101 (5).pdf     , 221 ,Opinion by ,Opinion by: HARTIGAN
0101 (5).pdf     , 233 ,Counsel    ,"Counsel:  [**1]  Donald F. Melchior, John M. O'Donnell, P. Jay Flocken, Department of Justice, Washington, D.C.,
                                    for plaintiff.
                                    Austin, Burns, Appell & Smith, Joseph Burns, New York City, for defendant Ingersoll-Rand Co.
                                    Aaron, Aaron, Schimberg & Less, Chicago, Ill., for defendant Goodman Mfg. Co.
                                    Kirkpatrick, Pomeroy, Lockhart & Johnson, Pittsburgh, Pa., for defendant Lee-Norse Co.
                                    Haden & Haden, Morgantown, W. Va., for defendant Galis Electric & Machine Co."
0101 (5).pdf     , 233 ,Opinion by ,Opinion by: ROSENBERG
0101 (5).pdf     , 259 ,Counsel    ,"Counsel:  [**1]  Alexander Greenfeld and Leonard G. Hagner, U.S. Attys., District of Delaware, Wilmington, Del.,
                                    Daniel J. Freed and Edward A. Copley, Justice Dept., Antitrust Division, Washington, D.C., for United States.
                                    William S. Potter (Berl, Potter & Anderson), Wilmington, Del., for defendants.
                                    H. Francis DeLone and John T. Subak (Dechert, Price & Rhoads), Philadelphia, Pa., for Pennsalt Chemicals Corp.
                                    Albert R. Connelly and John W. Barnum (Cravath, Swaine & Moore), New York City, for Olin Mathieson Chemical
                                    Corp."
0101 (5).pdf     , 259 ,Opinion by ,"Opinion by: STEEL
                                    217 F. Supp. 110, *110; 1963 U.S. Dist. LEXIS 9990, **9990"
0101 (5).pdf     , 294 ,Counsel    ,"Counsel: M. Mitchell Bourquin and William B. Boone for Plaintiffs and Appellants.
                                    Stanley Mosk, Attorney General, and Wiley W. Manuel, Deputy Attorney General, for Defendant and Appellant."
0101 (5).pdf     , 294 ,Judges     ,"Judges: Sullivan, J.  Bray, P. J., and Devine, J., * concurred."
0101 (5).pdf     , 294 ,Opinion by ,Opinion by: SULLIVAN
0101 (5).pdf     , 307 ,Counsel    ,"Counsel:  [**1]  Malloy, Myerson & Sullivan, Boston, Mass., for plaintiff. Frank Goldman, Robert H. Goldman,
                                    Lowell, Mass., for defendant."
0101 (5).pdf     , 307 ,Opinion by ,Opinion by: WYZANSKI
0101 (5).pdf     , 325 ,Counsel    ,"Counsel: Assistant Attorney General Loevinger argued the cause for the United States.  With him on the briefs
                                    were Solicitor General Cox, Charles H. Weston, George D. Reycraft, Lionel Kestenbaum and Melvin Spaeth.
                                    Philip Price and Arthur Littleton argued the cause for appellees.  With them on the brief were Ernest R. von Starck,
                                    Donald A. Scott, Carroll R. Wetzel, John J. Brennan and Minturn T. Wright III."
0101 (5).pdf     , 325 ,Judges     ,"Judges: Warren, Black, Clark, Harlan, Brennan, Stewart, Goldberg; White took no part in the consideration or
                                    decision of this case.
                                    374 U.S. 321, *321; 83 S. Ct. 1715, **1715; 10 L. Ed. 2d 915, ***915; 1963 U.S. LEXIS 2413, ****1"
0101 (5).pdf     , 325 ,Opinion by ,Opinion by: BRENNAN
0101 (5).pdf     , 359 ,Counsel    ,"Counsel:  [**1]  Edward Bennett Williams, Washington, D.C. (Williams & Stein, Washington, D.C., Drinker Biddle &
                                    Reath, Philadelphia, Pa., Harold Ungar, Washington, D.C., Henry W. Sawyer, III, R. Philip Steinberg, David W.
                                    Maxey, Philadelphia, Pa., on the brief), for appellant Viking Theatre Corp.
                                    Morris Wolf, Philadelphia, Pa. (Franklin Poul, Philadelphia, Pa., on the brief), for appellees Stanley-Warner
                                    Management Corp. and Stanley Co. of America.
                                    Louis J. Goffman, Philadelphia, Pa., Wolf, Block, Schorr & Solis-Cohen, Philadelphia, Pa., on the brief, for Warner
                                    Bros. Dist. Corp.
                                    Louis Nizer, Phillips, Nizer, Benjamin, Krim & Ballon, New York City, for appellee Loew's Inc.
                                    Louis Nizer, Phillips, Nizer, Benjamin, Krim & Ballon, New York City, W. Bradley Ward, Schnader, Harrison, Segal &
                                    Lewis, Philadelphia, Pa. (Gerald F. Phillips, Albert F. Smith, New York City, Wm. A. Schnader, Arlin M. Adams,
                                    Bancroft D. Haviland, Shirley S. Bitterman, Philadelphia, Pa., on the brief), for appellees Metro-Goldwyn-Mayer,
                                    Inc., Columbia Pictures Corp., United Artists Corp., Universal Film Exchanges, Inc., and Paramount Film
                                    Distributing Corp.
                                    Edwin P. Rome, Blank, Rudenko, Klaus & Rome, Philadelphia, Pa.  [**2]  (Morris L. Weisberg, Philadelphia, Pa., on
                                    the brief), for defendant-appellee William Goldman Theatres, Inc.
                                    Charles F. Young, Royall, Koegel Rogers, New York City (Ralph Earle II, Arthur Littleton, Morgan, Lewis & Bockius,
                                    Philadelphia, Pa., Royall, Koegel & Rogers, New York City, on the brief), for appellees Twentieth Century-Fox Film
                                    Corp. and Fox Philadelphia Building, Inc."
0101 (5).pdf     , 359 ,Judges     ,"Judges: Before BIGGS, Chief Judge, and GANEY and SMITH, Circuit Judges."
0101 (5).pdf     , 359 ,Opinion by ,"Opinion by: SMITH
                                    320 F.2d 285, *285; 1963 U.S. App. LEXIS 4882, **4882"
0101 (5).pdf     , 374 ,Counsel    ,"Counsel:  [**1]  Lyle L. Jones, Nicolaus Bruns, Jr., Carl D. Lobell, Richard Boyle, Antitrust Division, Department of
                                    Justice, San Francisco, Cal., for plaintiff.
                                    
                                    
                                    Pillsbury, Madison & Sutro, Francis R. Kirkham, Albert J. Brown, William E. Mussman, San Francisco, Cal., for
                                    defendant FMC Corporation.
                                    McCutchen, Doyle, Brown & Enersen, Morris M. Doyle, San Francisco, Cal., Simpson, Thacher & Bartlett, Whitney
                                    North Seymour, William J. Manning, New York City, for defendant American Viscose Corporation."
0101 (5).pdf     , 374 ,Opinion by ,Opinion by: HARRIS
0101 (5).pdf     , 385 ,Counsel    ,"Counsel: M. Mitchell Bourquin for Plaintiffs and Appellants.
                                    Stanley Mosk, Attorney General, and Wiley W. Manuel, Deputy Attorney General, for Defendant and Respondent."
0101 (5).pdf     , 385 ,Judges     ,"Judges: Molinari, J.  Bray, P. J., and Sullivan, J., concurred."
0101 (5).pdf     , 385 ,Opinion by ,Opinion by: MOLINARI
0101 (5).pdf     , 393 ,Counsel    ,"Counsel: Matthew J. Levitt, John M. Palmer and Jerry F. Rotman, of Levitt & Palmer, Minneapolis, Minn. (John R.
                                    Heim, Minneapolis, Minn., of counsel), for petitioner.
                                    Morton M. Maneker and Margaret H. Brass, Attys., Dept. of Justice, Washington, D.C., for United States."
0101 (5).pdf     , 393 ,Opinion by ,Opinion by: NORDBYE
0101 (5).pdf     , 401 ,Counsel    ,"Counsel:  [**1]  John C. Kappel, Kappel & Neill, St. Louis, Mo., Shipley, Akerman & Pickett, Washington, D.C., for
                                    plaintiff.
                                    Lewis C. Green, Green, Hennings, Henry, Evans & Arnold, and Alan G. Kimbrell, St. Louis, Mo., Gustav B. Margraf
                                    and W. Tobin Lennon, Richmond, Va., for defendant."
0101 (5).pdf     , 401 ,Opinion by ,Opinion by: MEREDITH
0101 (5).pdf     , 405 ,Counsel    ,"Counsel:  [**1]  Robert W. Bergstrom Lee A. Freeman, Charles A. Bane, Seymour F. Simon, William J. Froelich,
                                    Thomas C. McConnell, Chicago, Ill., Martin R. Paulsen, Milwaukee, Wis., for appellant.
                                    John T. Chadwell, Harold T. Halfpenny, John P. Ryan, Jr., Chicago, Ill., MacAsbill, Washington, D.C., Edward R.
                                    Adams, Brainerd Chapman, John Paul Stevens, W. Donald McSweeney, Holmes Baldridge, Hammond E. Chaffetz,
                                    Edward R. Johnston, Earl E. Pollock, Charles, M. Price, Chicago, Ill., for appellee."
0101 (5).pdf     , 405 ,Judges     ,"Judges: Before KNOCH, KILEY, and SWYGERT, Circuit Judges."
0101 (5).pdf     , 405 ,Opinion by ,Opinion by: KILEY
0101 (5).pdf     , 411 ,Counsel    ,"Counsel:  [**1]  VanDerveer, Brown & Siener, Chattanooga, Tenn., for plaintiff.
                                    Witt, Gaither, Abernathy, Caldwell & Wilson, Chattanooga, Tenn., for Happy Valley Farms.
                                    .miller, Martin, Hitching, Tipton & Lenihan, Chattanooga, Tenn., for Sealtest."
0101 (5).pdf     , 411 ,Opinion by ,Opinion by: WILSON
0101 (5).pdf     , 415 ,Counsel    ,"Counsel:  [**1]  Huddleston & Huddleston, Bowling Green, Ky., for plaintiff.
                                    Berry & Floyd, New Castle, Ky., for defendant."
0101 (5).pdf     , 415 ,Opinion by ,Opinion by: SWINFORD
0101 (5).pdf     , 423 ,Counsel    ,"Counsel:  [**1]  John S. McDaniel, Jr., Baltimore, Md. (Cable & McDaniel, and Calhoun Bond, Baltimore, Md., on
                                    brief) for appellant.
                                    Milton Handler, Mew York City (David R. Owen, Baltimore, Md., Stanley D. Robinson, Melvin A. Eisenberg, and
                                    Kaye, Scholer, Fierman, Hays & Handler, New York City, on brief) for appellee."
0101 (5).pdf     , 423 ,Judges     ,"Judges: Before SOBELOFF, Chief Judge, and HAYNSWORTH and BRYAN, Circuit Judges."
0101 (5).pdf     , 423 ,Opinion by ,Opinion by: SOBELOFF
0101 (5).pdf     , 438 ,Counsel    ,"Counsel: Arthur G. Connolly and Januar D. Bove, Jr., of Connolly, Bove & Lodge, Wilmington, Del., John W. Nields
                                    and William T. Lifland, of Cahill, Gordon, Reindel & Ohl, New York City, of counsel, for plaintiff.
                                    William S. Potter, of Berl, Potter & Anderson, Wilmington, Del., Theodore S. Kenyon, Malvin R. Mandelbaum,
                                    Charles R. Brainard and Joseph A. Barbosa, of Kenyon & Kenyon, New York City, of counsel, for Hercules Powder
                                    Co.
                                    John J. DeLuca, Wilmington, Del., and Kenyon & Kenyon, New York City, of counsel, for Stauffer Chemical Co.
                                    James M. Tunnell, Jr., of Morris, Nichols, Arsht & Tunnell, Wilmington, Del., and Kenyon & Kenyon, New York City,
                                    of counsel, for Texas Alkyls, Inc."
0101 (5).pdf     , 438 ,Opinion by ,Opinion by: WRIGHT
