���X,���e
165,"HN1 [ ]  U.S.Const. Amend. I  (""Congress shall make no law respecting an establishment of religion . . . .""). It has long been  held that the  Establishment clause  is applicable to the states under the  Fourteenth Amendment .  Cantwell v. Connecticut, 310  U.S. 296, 303, 60 S. Ct. 900, 903, 84 L. Ed. 1213 (1940) .  U.S.Const. Amend. XIV, sec. 1.    15 U.S.C. §§ 1 ,  2 ,  15 .  The Supreme Judicial Court's rulings in  Arno, supra , and  Samel v. City of Pittsfield Licensing Board, 377 Mass. 908, 384  N.E.2d 1230 (Mass. 1979) , have conclusively resolved issues of state law relevant to this case.  With respect to the antitrust theory, the parties have asked at this point only for a ruling as to the availability of a state  exemption defense under  Parker v. Brown, 317 U.S. 341, 63 S. Ct. 307, 87 L. Ed. 315 (1942) ."
166,"See also,  Moose Lodge No. 107 v. Irvis, 407 U.S. 163, 178-79, 92 S. Ct. 1965, 1974, 32 L. Ed. 2d 627 (1972)  (state liquor  regulation cannot invidiously discriminate in violation of equal protection)."
167,"The Arno court noted that a hearing is available to test whether a filed objection meets the statutory criteria i. e., whether the  objector is a church or school actually located within 500 feet of the applicant's premises and whether the objection was  authorized by the objector's governing body. See  Arno, supra, 384 N.E.2d at 1228 . Indeed, the Church's first objection to  Grendel's application was rejected by the CLC for failure to meet the statutory element of due authorization. Arno makes clear, however, that a church or school may object without having to submit to a hearing at which its reasons or  motives are examined or explained. Id. Simply put, under  § 16C  a church or school may exercise its discretion to object for good  reason, bad reason, or no reason at all.  Thus, certification of the issue of legislative intent to the Supreme Judicial Court, as suggested by the Commonwealth, would  be pointless, since such a determination would have no bearing on the effect of the statute's actual operation."
168,"Plaintiff has also assailed  § 16C  as violative of due process because of the lack of a hearing to probe the standards and  motives governing  § 16C  entities' exercise of their veto powers. In view of this court's decision concerning plaintiff's primary due  process claim, it is unnecessary to reach this issue. To the extent that  § 16C  is invalid because it permits private parties to use public power for invalid purposes, those aspects of  §  16C  are better discussed in connection with particular allegations made by Grendel's, e.g., its  Establishment Clause  and  antitrust claims, infra."
169,"Zoning regulations also present the potential for bargaining and discretion, and churches may, of course, exercise such  powers along with other property owners subject to such regulations. In zoning, however, the breadth of regulation negates any  finding that the regulation has a primary effect of advancing religion. Here, because  § 16C  defines a narrow class of"
170,"beneficiaries and because churches and their related schools compose such a large part of the protected class, the same  inference of neutrality cannot be drawn. Likewise, a licensing structure in which the local licensing board could consider a church's objection, but would retain the right to  make an independent determination, is distinguishable from this case.  The defendants have cited three lower state court opinions which they claim as precedent upholding the validity of  § 16C .  The first,  Appeal of Rusch, 32 Pa.Cmwlth. 578, 379 A.2d 1375 (1977) , is inapplicable because it involved the exercise of a  licensing board's discretion in rejecting an application for a license near a church. Moreover, no constitutional challenge was  either advanced, considered, or decided in Rusch. The second,  Horne v. Hernando County, 297 So.2d 606 (Fla.App.1974) , is  distinguishable because it upheld a county ordinance flatly banning licenses within 1500 feet of a church or school. The third case cited,  Wiles v. Michigan Liquor Control Comm'n, 59 Mich.App. 321, 229 N.W.2d 434 (1975) , did reject an  Establishment Clause  attack on a statute virtually identical to  § 16C . But it is clear from the opinion in Wiles that the court was  not presented with the specific due process and  Establishment Clause  arguments advanced here. Indeed, Wiles contains only a  short paragraph concluding that the licensing statute did not have the primary effect of advancing religion. Given its conclusory  nature, Wiles is hardly persuasive authority on the issues before this court.  As has been noted, supra, however, that possibility does provide grounds for due process and  Establishment Clause   challenges."
171,"U.S.Const., art. VI.  For example, church members who own liquor establishments or restaurants might exploit their churches'  § 16C  veto power  to disadvantage a competitor seeking to obtain a license. At this stage of the case, the court expresses no opinion as to the  validity of such a theory and no findings as to the facts surrounding Grendel's application."
173,"Auburn News Co. v. Providence Journal Co. Reporter 504 F. Supp. 292 *; 1980 U.S. Dist. LEXIS 15026 **; 1980-81 Trade Cas. (CCH) P63,640; 6 Media L. Rep. 2333 Core Terms LexisNexis® Headnotes"
175,Opinion
177,"While other papers are distributed by some of these independent distributors, it can be said their contribution to the total is de  minimis."
179,"Defendants point to  Lamara and Millcarek v. Miami Publishing Co., 388 F. Supp. 1002 (S.D.Fla.1975)  in support of their claim  that they cannot conspire among one another.  Lamarca and Millcarek involved an employee-employer relationship.  The case at  bar concerns independent contractors.  Lamarca and Millcarek, therefore, are inapposite.  Indeed, there was evidence that at certain times the Journal and Southern New England were at cross purposes.    Knutson v. Daily Review, Inc., 383 F. Supp. 1346 (N.D.Cal.1974) , aff'd in part rev'd in part on other grounds,  548 F.2d 795  (9th Cir. 1976) , cert. denied,  433 U.S. 910, 97 S. Ct. 2977, 53 L. Ed. 2d 1094 (1977) , upon which Defendants rely is not to the"
180,"contrary.  There the court found two newspapers to be mere extensions of a sole owner.  That court further held there had been  no proof of monopoly power, nor of coercive or predatory practices.  Defendants' reliance on  Naify v. McClatchy Newspapers, 599 F.2d 335 (9th Cir. 1979)  and  Newberry v. Washington Post Co.,  438 F. Supp. 470 (D.D.C.1977)  is misapplied.  In Naify there was no evidence of any attempt to maintain retail prices.  Similarly  in Newberry, with the exception of one instance, there was no evidence of coercion.  Thus a combination could not be found."
182,Defendants underwrite part of the cost of delivery for distributors whose area is rural.
183,No testimony was offered concerning the cross elasticity between the Journal's newspapers and the out-of-state dailies.
184,"The testimony indicates there is practically no competition among distributors. For obvious reasons maintenance of such a  condition was never an express condition of either the relationships among distributors or between distributors and the Journal.  Otter Tail also refused to ""wheel"" power to Plaintiffs, that is, it refused to transmit to Plaintiffs power generated by others, and  engaged in harassing litigation."
186,"Baldini v. New England Greyhound Asso. Reporter 1980 U.S. Dist. LEXIS 15408 *; 91 Lab. Cas. (CCH) P12,718 Core Terms Opinion"
187,"It is true, as plaintiffs point out, that courts have found labor organizations to exist despite the inclusion of employees in  categories explicitly excluded by  Section 152 , such as railway workers and supervisors, but in each of those cases the essential  employment relationship between the parties was undisputed; the question instead revolved around the legislative policy  excluding certain categories of employees from union membership in general.   District 2 MEBA v. Amoco Oil Co., 554 F.2d 774  (6th Cir. 1977) ;  Marriott In-Flight Services v. Transport Workers., 557 F.2d 295 (2d Cir. 1977) ."
189,"Barry Wright Corp. v. ITT Grinnell Corp. Reporter 1981 U.S. Dist. LEXIS 9432 *; 1980-81 Trade Cas. (CCH) P63,862 Core Terms LexisNexis® Headnotes"
194,Opinion
200,"In the absence of various economically supportable justifications such as quantity discounts, discussed infra. There was, however, evidence indicating that Pet Milk had suffered ""substantial losses"" during the period or price  discriminating.   386 U.S. at 697 . The Court observed:  It would not have been an irrational step if the jury concluded that there was a relationship between price and the losses."
201,Id.
204,"Bradley Auto Wash Sales, Inc. v. BP Oil, Inc. Reporter 1981 U.S. Dist. LEXIS 10018 *; 1982-1 Trade Cas. (CCH) P64,470 Core Terms LexisNexis® Headnotes"
206,"Opinion BP originally filed a three-count cross-claim against Roberts: Count I asserted that BO's distributorship contracts with Roberts  contained an indemnification provision applicable to this case; Count II asserted a common law right of indemnification to the  extent that any liability may be imposed on it for acts of its ""agent"" Roberts under the doctrine of respondeat superior; and Count  III asserted a right of contribution against Roberts.  In a stipulation by the defendants filed on June 19, 1981, BP waived Counts  II and III of its cross-claim against Roberts leaving only Count I remaining.  Both parties waived their right to a jury trial on this  remaining count."
207,Roberts is the successor corporation and transferee of all assets and liabilities of Royal Petroleum Corporation.
208,"The holding in Professional Beauty Supply allowing contribution as a matter of federal common law in an antitrust case may be  considered overruled in Texas Industries, Inc. which held that federal law does not allow an antitrust defendant to recover in  contribution from co-conspirators.  The holding in Professional Beauty Supply that indemnification is not generally allowed under  federal  antitrust law , however, remains intact. See Roberts' Memorandum, p. 8 and BP's Memorandum, p. 2."
209,"HN5 [ ] Extrinsic circumstances can be considered in the interpretation of ambiguous contract terms under Massachusetts  law.   Golden v. Pepper Shoe Corporation, 94 F.Supp. 100 (D.C. Mass. 1950) .  Boston and Maine Railroad v. Hall, 284 F.2d 474  (1st Cir. 1960) . In Golden, the court held that since the contract is fairly susceptible to more than one meaning, evidence of what  occurred in the course of negotiations was relevant and not excluded by the parol evidence rule.   Neither BP nor Roberts have requested a hearing to present parol evidence that might shed light on the intention of the parties  when the term in question was included in the contract.  The Court, therefore, finds noteworthy an affidavit by Mr. Steven  Roberts stating that there was never any discussion about the indemnification clause and that it was certainly not his  understanding that he agreed to pay BP's attorney's fee if BP should be sued for some conduct that relates to their business  relationship."
210,"See  Alyeska Pipeline Company v. Wilderness Society, 421 U.S. 240, 245 (1975) ."
211,"Van Schaick v. Church of Scientology, Inc. Reporter 535 F. Supp. 1125 *; 1982 U.S. Dist. LEXIS 11462 ** Core Terms LexisNexis® Headnotes"
217,"Opinion  On August 14, 1981, before disposition of these motions, Garritano moved to substitute counsel. Her affidavit cited  ""irreconcilable differences"" with Van Schaick's attorney, who had been acting as her counsel as well. We allowed that motion on  August 21, 1981."
218,"Plaintiff has not served the individual defendants, L. Ron Hubbard and Mary Sue Hubbard.  Auditing is a process during which a Scientology employee or agent (Auditor) uses a set of questions and drills, in conjunction  with a mechanical device similar to a lie detector (the Hubbard E-meter) to elicit personal information from the subject, for the  alleged purpose of psychotherapy. In order to obtain auditing, the subject signs a contract with the Church. The auditor asks  questions which locate ""Buttons""-a conscious or subconscious indication or response. To help locate ""buttons"", the auditor uses"
219,"a Hubbard E-meter, a device which measures skin voltage. During auditing, the auditor pursues lines of questioning on highly  personal subjects (""rundowns"") to locate the subject's ""buttons"". The auditor then makes a written record of the disclosures  made.  Plaintiff alleges that it is Church policy to harass ex-members, and that this policy is explicitly authorized in the ""Fair Game  Doctrine"" which states, inter alia: ""Every S. P. (Suppressive Person) Order Fair Game. May be deprived or injured by any means by any Scientologist. May be  tricked, sued, or destroyed."" For purposes of the pending motions, we ignore defense counsel's representation at oral argument that the Fair Game Doctrine  had been misconstrued and was repealed in 1968."
220,"Since the Fair Labor Standards Act does not contain a special venue provision, the general venue statute controls actions  under the Act.   Goldberg v. Wharf Constructers, N.D.Ala., 1962, 209 F. Supp. 499, 501 ."
221,"The special venue provision found in  18 U.S.C. § 1965  is not intended to be exclusive, but is intended to liberalize the existing  venue provisions. Therefore,  HN4 [ ] where venue is improper under  § 1965(a) , it is appropriate to inquire whether the action  can be maintained under the general venue statute,  28 U.S.C. § 1391(b) .   Farmers Bank of State of Del. v. Bell Mortg. Corp.,  D.Del., 1978, 452 F. Supp. 1278, 1280-1281 .  Section 1391(b)  provides that venue is proper where the cause of action arose.  But since almost all of the acts upon which plaintiff's RICO counts are predicated occurred outside of Massachusetts, none of  her RICO claims ""arose"" in this district.  The California Church argues that even if its own business activities here are sufficiently extensive to meet the venue  requirements of  28 U.S.C. § 1391(c) , venue for the entire action is still improper in this district because the venue requirements  of  28 U.S.C. § 1391(b)  have not been met with respect to the individual defendants. But the defense of improper venue is  personal to the party to whom it applies, and a resident defendant may not avail himself of a dismissal or transfer due to  improper venue over a nonresident, unless the latter is an indispensable party.   Camp v. Gress, 1919, 250 U.S. 308, 316, 39 S.  Ct. 478, 481, 63 L. Ed. 997 ;  Vance Trucking Co. v. Canal Insurance Co., 4 Cir., 1964, 338 F.2d 943, 944 ;  Goldberg v. Wharf  Constructers, N.D.Ala., 1962, 209 F. Supp. 499, 503-504 .  Although defendants have not addressed themselves to plaintiff's second amended complaint, we assume, based on  defendants' briefs and oral argument, that they would raise the same objections to plaintiff's most recent pleading."
222,"HN8 [ ]  18 U.S.C. § 1964(c)  states: Any person injured in his business or property by reason of a violation of  section 1962  of this chapter may sue therefor in any  appropriate United States district court and shall recover threefold the damages he sustains and the cost of the suit, including a  reasonable attorney's fee.  Plaintiff's complaint itself fails to specify which subsection of  § 1962  defendants are alleged to have violated; however, the  memoranda of law filed subsequently have made it clear that she predicates her claim on  § 1962(c) ."
224,"Judge Duffy's opinion in  Hellenic Lines, Ltd. v. O'Hearn, supra , is not to the contrary. He rejected as ""specious"" the argument  that a company that had paid allegedly reasonable prices, though ones inflated by bribes and kickbacks, had not suffered an  injury which  § 1964(c)  addresses since it was ""not hurt competitively by the RICO violation."" Ibid. at 248. We subscribe to Judge  Duffy's conclusion that a RICO violation does not depend upon the existence of a competitive injury. Although  antitrust law   proscribes and remedies certain injuries to competition, RICO does not so directly seek to protect competition. As Judge  Churchill observed, ""competitive injuries and racketeering enterprise injuries would frequently overlap, but they are not  necessarily the same.""  Landmark Savings v. Loeb Rhoades, Hornblower & Co., supra.   Section 1964(c)  does not require a  ""competitive injury"" but rather, in part, a ""racketeering enterprise injury"" and a plaintiff who has experienced commercial harm  resulting from it.  We do not reach defendants' contention that civil liability under  § 1962(c)  and  § 1964(c)  must be preceded by prior criminal  convictions of two criminal acts, except to note that the opposing citations relied on by plaintiff,  United States v. Malatesta, 5 Cir.  1978, 583 F.2d 748 , cert. den., 1979,  440 U.S. 962, 99 S. Ct. 1508, 59 L. Ed. 2d 777 , and  United States v. Frumento, 3 Cir.  1977, 563 F.2d 1083 , cert. den., 1978,  434 U.S. 1072, 98 S. Ct. 1256, 55 L. Ed. 2d 775 , are distinguishable in their factual  situations and holdings. While it is difficult for us to conclude that Congress, in using the words ""indictable"" and ""punishable""  contemplated that civil liability could result without involvement of the criminal process, other courts have done so."
225,"Plaintiff's complaint does not contain a paragraph 47.  For the reasons stated above, we dismiss plaintiff's three RICO counts for failure to state a claim upon which relief can be  granted. Since plaintiff predicates her class action on one or more of these RICO counts, our ruling eliminates the class claims  from this case."
227,"The extent to which the Fair Labor Standards Act applies to religious organizations is unclear. Although the Seventh Circuit  did hold that the FLSA covered employees of a church corporation who worked in a church-owned printing establishment,  Mitchell v. Pilgrim Holiness Church Corp., 7 Cir. 1954, 210 F.2d 879 , cert. den. 1954,  347 U.S. 1013, 74 S. Ct. 867, 98 L. Ed.  1136 , the Supreme Court has not addressed this issue and the legislative history and regulations suggest that religious activities  of non-profit organizations were to be exempt."
229,"We do not construe Ballard to hold that, although courts may not examine the truth or falsity of statements of a religious  nature, these statements may be the bases of a fraud action if made in bad faith. The Court in Ballard never addressed that  issue. Rather, it held only that the verity of religious beliefs or doctrines should not be submitted to the jury.  In International Society for Krishna Consciousness, Inc. v. Barber, the Second Circuit held that, absent a showing that no less  restrictive alternative existed which would not have interfered with the Krishna ritual of ""sankirtan"", the practice by which those  devoted to Krishna approach non-members, tell them of their religion's tenets and seek contributions, a regulation restricting  solicitation at a state fair to a booth unconstitutionally interfered with free exercise rights of members of Krishna Consciousness. In  Heffron v. International Society for Krishna Consciousness, supra , the Supreme Court upheld a similar regulation restricting  solicitation at the Minnesota State Fair as a reasonable time, place and manner restriction on  First Amendment  rights. The Court  reached that decision through a different analysis than that employed by the Second Circuit and one which did not involve an  inquiry regarding whether Krishna Consciousness had religious aspects entitling it to the protection of the  First Amendment .  Judge Kaufman's opinion for the Second Circuit is cited here not for its holding, which the Supreme Court rejected in Heffron, but  for whatever light it sheds on the separate problem regarding the criteria a court uses to determine when the protection of the  Free Exercise clause  is properly invoked."
232,"Barry Wright Corp. v. Pacific Scientific Corp. Reporter 555 F. Supp. 1264 *; 1983 U.S. Dist. LEXIS 19678 **; 1982-83 Trade Cas. (CCH) P65,189 Core Terms LexisNexis® Headnotes"
233,Opinion
241,"Nesglo, Inc. v. Chase Manhattan Bank, N.A. Reporter 562 F. Supp. 1029 *; 1983 U.S. Dist. LEXIS 19436 ** Core Terms Opinion"
243,"They consist of the Factor's Lien Contract (Exhibit A), Note (Exhibit B), Continuous and Unlimited Guaranty (Exhibit C), and  Collateral Agreement (Exhibit D)."
244,"""As requested"" in the courts of Puerto Rico is the equivalent of ""Granted and so ordered"" in federal court."
245,"The incident involved a motion to intervene filed by a creditor of Nesglo, Albert E. Rebel & Associates, Inc. (""Rebel"") that  claimed a preference in its credit to that of Chase.  Nesglo, Nestor and Gloria intervened to correct some alleged factual  misrepresentations made by Chase in its petition for certiorari.  The supreme court finally issued an opinion on November 1981  clarifying the criteria to determine whether Chase's factor's lien credit was of superior rank to that of Rebel. In passing, the court  considered the state court judgment against Chase to be final, firm and unappealable.  The court did not take into consideration  Nesglo's averments in its informative motion.  See,  Nesglo, Inc. v. Chase Manhattan Bank , 81 JTS 108 (1981). By this date, the state court had dismissed Nesglo's May 6, 1980 counterclaim and had denied reconsideration of its order."
246,The procedure used by the Supreme Court in this case to determine mootness -- whether a live case or controversy has  ceased to exist between the parties on appeal -- closely resembles the procedure used herein by the First Circuit Court of  Appeals. 415 U.S. at 306.
247,"In  Kremer  the Court held that a state court judgment upholding a state agency's rejection of an employment discrimination  claim, which would have  res judicata  effects in the state's own courts, precludes a federal action under Title VII of the 1964 Civil  Rights Act on the same claim of employment discrimination.  In so doing, the Court considerably narrowed the scope of judicial  exceptions to the preclusive command of 28 U.S.C. Se. 1738 in the context of relitigation of federal claims originally filed and  disposed of in state courts. Rodriguez v. Baldrich, 628 F.2d 691 (1st Cir. 1980)  (judgment of dismissal on  res judicata  grounds vacated and remanded to  district court for clarification of Puerto Rican law on  res judicata  effect in federal court of a state court dismissal for failure to post  a nonresident cost bond). Perez v. Bauza , 83 P.R.R. 213, 217-218 (1961)."
248,"According to  Perez v. Bauza, supra , as interpreted by  Baldrich, res judicata  in Puerto Rico has the same contours that it has in  federal law for it ""relieve/s/ parties of the cost and vexation of multiple lawsuits, conserves judicial resources, and, by preventing  inconsistent decisions, encourages reliance on adjudication"".   Allen v. McCurry, 449 U.S. 90, 94, 66 L. Ed. 2d 308, 101 S. Ct.  411 (1980) . As pointed out in  Baldrich, supra, 508 F. Supp. at 615, n. 1 , the Puerto Rico Rules of Civil Procedure of 1958 were repealed in  1979 by the Rules of Civil Procedure of 1979.  Rule 39.2 was reenacted as Rule 39.2(c) and its text, insofar as pertinent here, is  identical to that of its predecessor.  See, 32 L.P.R.A. App. 111, p. 162 (1980).  This rule is virtually identical to  Fed. R. Civ. Proc.  41(b)  governing involuntary dismissals.  In 1943 it was also known as  Rule 41(b)  of the Rules of Civil Procedure of Puerto Rico,  1943, and such is the reference in the  Bauza  passage reproduced above. In dismissing complaints for failure to comply with discovery orders the trial courts of the Commonwealth of Puerto Rico seem  to enjoy the same discretionary latitude as federal district courts.  Orderly administration of justice in this sense is identical both  in the state and federal systems.  See, e.g.,  Corchado v. Puerto Rico Marine Management, 665 F.2d 410 (1st Cir. 1981)  (circuit  court underscores that dismissals with prejudice for failure to comply with discovery orders will ordinarily be upheld as being  within sound discretion of trial court). See, generally, 18 C. Wright, A. Miller & E. Cooper,  Federal Practice and Procedure , Civil: Sec. 4440, at 362-365 (1981)."
249,"In Puerto Rico it is common practice to refer to all defendants or the defendants in general as ""the party defendant"" (literal  translation).  If a particular defendant or plaintiff is to be singled out then he or she or it (if a corporation) is expressly identified in  the pleadings."
250,"As explained by this court in  Wong v. Key Finance Corporation, 266 F. Supp. 149, 153, 154 (D.P.R. 1967) , the words ""joint"" or  ""jointly"" in English are the equivalent of ""solidaria"" or ""solidariamente"" in Spanish, which in the case of multiple debtors or  guarantors, means that  any  of them are liable for the entire sums owed.  The Code also confers standing on solidary debtors to  ""utilize, against the claim of the creditor, all the exceptions arising from the nature of the obligation and those which are personal  to him"".  Article 1101,  31 L.P.R.A. Sec. 3112 .  Sureties binding themselves jointly (solidarily) with the principal debtor are  treated, according to the Code, as principal solidary debtors subject to the provisions found in Article 1090-1101, 31 L.P.R.A.  Secs. 3101-3112.   Wong, supra , Id. They also had the right to utilize against the claim of Chase, as creditor, all exceptions arising from the nature of the obligation.   Article 1101. The same result would be obtained under the federal  res judicata  principle as the Supreme Court of the United States  indicated in a similar context in  Montana v. United States, 440 U.S. 147, 59 L. Ed. 2d 210, 99 S. Ct. 970 (1979) . The Court at  page 154 quoting from  Souffront v. Compagnie des Sucreries, 217 U.S. 475, 486-487, 54 L. Ed. 846, 30 S. Ct. 608 , observed  that ""/O/ne who prosecutes or defends a suit in the name of another to establish and protect his own right or who assists in the  prosecution or defense of an action in aid of some interest of his own . . . is as much bound . . . as he would be if he had been a  party to the record."""
251,"Plaintiffs themselves characterize Nestor's and Gloria's state court counterclaim as permissive.  Though it is not necessary for  us to decide whether such counterclaim is permissive or compulsory for purposes of this opinion, certainly this characterization  shows that plaintiffs were not involuntary defendants hauled into state court against their wishes.  They freely chose their state  forum and must abide by their conduct even if it implies waiver of a federal forum and its protections.  See,  Nash County Board  of Education v. Biltmore Co., 640 F.2d 484, 492 (4th Cir. 1981) , cert. den.  454 U.S. 878, 70 L. Ed. 2d 188, 102 S. Ct. 359 , reh.  den.  454 U.S. 1117, 102 S. Ct. 692, 70 L. Ed. 2d 654 . A complete description of the claims set forth in this amended complaint of September 1979 is set out in our original reported  opinion and order dismissing this action.  See,  506 F. Supp. 254 (D.P.R. 1980) ."
252,"Blanco v. The Capital , 77 P.R.R. 607 (1954) and  Capo v. A. Hartman & Co. , 57 P.R.R. 190 (1940). As  General Foods v. Mass. Dept. of Public Health, supra, 648 F.2d at 785-786  makes clear, in the case of a state court  judgment deciding federal questions, federal courts must refer to state law on  res judicata  to comply with the command of  28  U.S.C. Sec. 1738 . 12 U.S.C. Sec. 1978  provides as follows:"
253,"""Nothing contained in this chapter shall be construed as affecting in any manner the right of the United States or any other  party to bring an action under any other law of the United States or of any State, including any right which may exist in  addition to specific statutory authority, challenging the legality of any act or practice which may be proscribed by this  chapter.  No regulation or order issued by the Board under this chapter shall in any manner constitute a defense to such  action."" 12 U.S.C. Sec. 1975  provides as follows: ""Any person who is injured in his business or property by reason of anything forbidden in section 1972 of this title may sue  therefor in any district court of the United States in which the defendant resides or is found or has an agent, without regard  to the amount in controversy, and shall be entitled to recover three times the amount of the damages sustained by him, and  the cost of suit, including a reasonable attorney's fee."" In so doing, the court adopted Moore's comments on  Connelly v. Balkwill, 174 F. Supp. 49, 11 Ohio Op.2d 289, 83 Ohio L.  Abs. 513 (N.D. Ohio 1959) , aff'd.  279 F.2d 685 (6th Cir. 1960) .  Nash, supra, 640 F.2d at 488, n. 10 . The Supreme Court of the  United States has noted the  Nash  method of ascertaining whether there is identity of claims in  Kremer v. Chemical Construction  Corp., supra."
254,"Reiter v. Sonotone Corp., 442 U.S. 330, 60 L. Ed. 2d 931, 99 S. Ct. 2326 (1979)  held that retail purchasers can suffer an  ""injury"" to their business or property within the meaning of section 4 of the Clayton Act, which grants a private treble damage  remedy to persons suffering business injury as a consequence of an antitrust violation. Defendants read the  Moitie  decision as signaling the demise of the judicially created doctrine of exclusive federal judicial  jurisdiction in antitrust cases.  See  Nash, supra, 640 F.2d 492, n. 13 . They argue that inasmuch as the Supreme Court acted on  an action removed from state court, if the pleadings, as the court stated, merely reproduced the initial federal antitrust claims  originally filed in the district court, then the state court had no subject matter jurisdiction over the action and the district court  could acquire none on removal.   General Investment Co. v. Lake Shore & M.S.R. Co., 260 U.S. 261, 288, 67 L. Ed. 244, 43 S.  Ct. 106 (1922)  (federal court must dismiss for want of jurisdiction federal antitrust action originally filed in state court and  subsequently removed to the former court).  See also,  Blumenstock Bros. Adv. Agency v. Curtis Pub. Co., 252 U.S. 436, 64 L.  Ed. 649, 40 S. Ct. 385 (1920) ;  Freeman v. Machine Co., 319 U.S. 448, 451, 87 L. Ed. 1509, 63 S. Ct. 1146, n. 6 (1943) ;  but see,  Testa v. Katt, 330 U.S. 386, 389-394, 91 L. Ed. 967, 67 S. Ct. 810 (1947)  (state court is obligated under  supremacy clause , to  enforce private treble damage remedy -- similar to that in antitrust laws -- found in Emergency Price Control Act of 1942, as  amended, regardless whether it be considered ""penal"" in nature).  A remand was thus in order and the  res judicata  question  need not have been decided.  A careful review of the  Moitie  Supreme Court decision reveals that indeed the court was aware of  the removal problem, but nevertheless chose to entertain the  res judicata  arguments.   Moitie, supra, 452 U.S. at 397, n. 2 . While defendants' arguments certainly bear weight, we find it unnecessary to reach this issue on the present record.  Whether or  not the state court here had subject matter jurisdiction of the federal claims before this court, is really immaterial in view of the  opportunities available to the plaintiffs to redress any jurisdictional errors within the state court system. We remain unpersuaded that Congress intended to vest federal courts with jurisdiction exclusive of that of state courts to  entertain private treble damage actions under the Tie-in Amendments, especially, under the criteria set forth in  Gulf Offshore  Co. v. Mobil Oil Corp., 449 U.S. 1033, 66 L. Ed. 2d 494, 101 S. Ct. 607 , to determine whether a congressional grant of federal  jurisdiction displaces state court jurisdiction over the same federal claims:"
255,"1) an explicit statutory directive; 2) an unmistaken implication from legislative history, and 3) a clear incompatibility between state court jurisdiction and federal interests. Aside from the fact that in the case of Tie-in Amendments, there is no explicit statutory directive or legislative history permitting  an inference of exclusive jurisdiction -- the contrary is just the situation as embodied in  12 U.S.C. Sec. 1978  -- we fail to perceive  a clear incompatibility between state court jurisdiction and the commercial interests sought to be protected by Congress in the  amendments.  The broad traditional regulatory power of banking by the states, taken into consideration by Congress in enacting  the Tie-in Amendments, certainly makes entertainment of such federal claims by state courts conducive to the enforcement of  federal rights.   Kremer v. Chemical Construction Corp., supra ;  Dowd Box Co. v. Courtney, 368 U.S. 502, 507-508, 7 L. Ed. 2d  483, 82 S. Ct. 519 (1962)  (concurrent jurisdiction of state courts upheld in actions under Section 301 of the Labor Management  Relations Act). Certainly, the courts of the Commonwealth of Puerto Rico are not foreign to broad antitrust private treble damage  remedies to redress unfair methods of competition of the type pressed by plaintiffs in this court.  See, the Puerto Rico Monopoly  Act, Act No. 77 of June 25, 1964, as amended,  10 L.P.R.A. Secs. 257 et seq. , especially Secs. 259(a) and 262) (Unfair  Methods of Competition and Exclusive Dealing).  The act explicitly vests on the Superior Court of Puerto Rico jurisdiction to  entertain private treble damage suits in  10 L.P.R.A. Sec. 268(a) . The U.S. Court of Appeals for the First Circuit had already held  pro tanto  in the context of a state civil proceedings in  Lovely v.  Laliberte, 498 F.2d 1261, 1263-64 (1st Cir. 1974) , cert. den.  419 U.S. 1038, 42 L. Ed. 2d 316, 95 S. Ct. 526 (1974) . See  Rodriguez v. Baldrich, supra."
256,"There is no question that state court jurisdiction over the federal constitutional and civil rights claim is concurrent with that of  federal courts.  See,  Diaz v. Collazo , 82 JTS 30 (March 10, 1982) and cases cited; see, also,  Lovely v. Laliberte, supra, note 26 . Even if this were a case of exclusive federal judicial jurisdiction, the equities would tend to favor enforcement of traditional  res  judicata  preclusion inasmuch as there is simply no need to assess whether uniform national policy in antitrust enforcement  would be affected given the voluntary conduct of plaintiffs in state court in refusing to comply with state judicial procedure.  If  anything, an interest in uniform and proper administration of justice should prevail, and in this instance, the state court judgment  fosters this interest the same way as any federal judgment in similar circumstances would. As mentioned previously, in arriving at our findings and conclusions, we have relied in part on our familiarity with Puerto Rican  substantive and procedural law.  In any event, as respects civil procedure, the Puerto Rican rules are very similar to and  sometimes identical with the Federal Rules of Civil Procedure.  This identity exists in the area of dismissals for failure to comply  with discovery orders. Given the retention of appellate jurisdiction by the United States Court of Appeals for the First Circuit, we may not vacate our  prior judgment at this stage of the proceedings.  However, this should not be construed as a rejection or departure from the  views expressed in our original opinion to which we still adhere."
258,"M & H Tire Co. v. Hoosier Racing Tire Corp. Reporter 560 F. Supp. 591 *; 1983 U.S. Dist. LEXIS 18162 **; 1983-1 Trade Cas. (CCH) P65,311 Core Terms LexisNexis® Headnotes"
263,Opinion
