­¶½X,¤º®e,
110,Id.?”Suspension of License?”Evidence.  Evidence?”Presumptions?”As Evidence.  Intoxicating Liquors?”Suspension of License?”Evidence.  Administrative Law?”Judicial Review?”Review Limited to Record.  Intoxicating Liquors ??Suspension of License ??Evidence: Review.,
111,Evidence?”Judicial Notice.  Appeal?”Judicial Notice by Appellate Court.  Id.?”Alcoholic Beverage Control Act?”Sales?”Fair Trade Contracts.  Id.?”Alcoholic Beverage Control Act?”Sales?”Fair Trade Contracts.  Id.?”Suspension of License?”Findings.,
112,Id.?”Suspension of License?”Findings.  Trial?”Findings?”Where Findings if Made Would Be Adverse.  Intoxicating Liquors?”Suspension of License?”Findings.  Id.?”Suspension of License?”Findings.  Id.?”Suspension of License?”Evidence.,
113,"Id. ??Alcoholic Beverage Control ??Sales.  Opinion Assigned by Chairman of Judicial Council. Unless otherwise indicated, all code references hereafter are to the Business and Professions Code.",
114,"HN2 [ ]  Section 24200  in relevant part provides: ""The following are the grounds which constitute a basis for the suspension or  the revocation of licenses: (a) When the continuance of a license would be contrary to public welfare or morals; but proceedings  under this section upon this ground are not a limitation upon the department's authority to proceed under  Article XX, Section 22  of the Constitution ."" California Constitution, article XX, section 22  in relevant part provides: ""The department shall have the power, in its discretion, to  deny, suspend or revoke any specific alcoholic beverage license if it shall determine for good cause that the granting or  continuance of such license would be contrary to public welfare or morals, . . ."" Section 24200  provides in relevant part: ""The following are the grounds which constitute a basis for the suspension or the  revocation of licenses: . . . (b) Except as limited by Chapters 11 and 12 of this division, the violation or the causing or the  permitting of a violation by a licensee of this division, . . . or any rules of the department adopted pursuant to the provisions of  this division, or any other penal provisions of law of this State prohibiting or regulating the sale . . . of alcoholic beverages or  intoxicating liquors."" The matter was submitted below on the petition, return, and record of the administrative proceedings had before the  Department which included a transcript of the oral proceedings and certain documentary evidence received.  The entire  administrative file, together with the opinion of the Appeals Board, has been transmitted here. The finding did not extend to all items of alcoholic beverages involved.  The court found there  was  substantial evidence that the  minimum retail prices of three brands of beverages and the schedules filed with the Department were fixed and agreed upon  between the manufacturers or brand owners and retail off-sale licensees.",
115,"As pointed out above (see footnote 4) the relevant finding in the trial court was unfavorable to the Department on all but three  items set forth in the accusation. The Department makes no argument on the ninth count which was reversed by the Appeals Board. It is unnecessary to detail the licensees' meticulous objections to each item of documentary evidence.  Generally speaking,  they were made on the grounds that the fair trade contracts were not in fact contracts because the parties thereto made no  engagement to sell or buy to or from each other; that the contracts created no mutually binding obligations; that the parties  signatory to the agreements did not in every instance agree to the fair trade prices revised and appended to the agreements  after their execution; and that there was no showing that the beverages listed in the agreements were, at the time of the sales  involved, in fair and open competition with alcoholic beverages of the same general class produced by others. The certification made under oath by the special assistant to the Director of Alcoholic Beverage Control states that such person  is the ""legal custodian of the fair trade contracts and fair trade contract price schedules required by law to be filed with the  Department.  . . .""",
116,"HN6 [ ]  Section 24750  provides: ""No contract relating to the sale or resale of any alcoholic beverage which bears, or the label  or container of which bears, the trade-mark, brand, or name of the producer or owner of the alcoholic beverage and which is in  fair and open competition with alcoholic beverages of the same general class produced by others violates any law of this State  by reason of either of the following provisions which may be contained in such contract: ""(a) That the buyer will not resell the alcoholic beverage except at the price stipulated by the vendor. ""(b) That the producer or vendee of the alcoholic beverage require, upon the sale of the alcoholic beverage to another, that the  purchaser agree that he will not, in turn, resell except at the price stipulated by the producer or vendee."" Section 24755 , at the times here involved, read as follows: ""All distilled spirits sold at retail shall be, and any other alcoholic  beverage may be, sold pursuant to a contract executed pursuant to this chapter, except that Chapter 11 shall govern the sale of  wine in all cases in which that chapter is applicable.  No licensee shall violate any of the provisions of any such contract."" The foregoing section was repealed in 1961 (Stats. 1961, ch. 635, Â§ 3) and a new section bearing the same number added  (Stats. 1961, ch. 635, Â§ 4), which, in respect to distilled spirits bearing the brand, trademark or name of the owner or person in  control, prohibits any retail sale for consumption off the licensed premises unless a minimum retail price has first been filed with  the Department pursuant to the section and further prohibits any sale by an off-sale licensee ""at any price less than the effective  filed price.""",
117,"Former rule 99, subdivisions (a), (b) and (f) in relevant part provided: ""(a) No manufacturer, manufacturer's agent, wholesaler  or rectifier shall sell distilled spirits the containers of which bear labels stating the brand or name of the owner or producer, in this  State, except pursuant to a fair trade contract, as provided for by  Sections 24750 to 24755  of the Alcoholic Beverage Control  Act. ""(b) Every manufacturer, manufacturer's agent, wholesaler, or rectifier licensed in this State who owns or controls a brand of  distilled spirits, or who is properly authorized to fair trade a brand of distilled spirits in this State, shall file with the department a  copy of a fair trade contract, or a notice of the amendment of an existing fair trade contract, and four copies of minimum resale  price schedules.  . . . ""(f) No licensee shall advertise or offer for sale, or sell, alcoholic beverages at retail at a price less than the stipulated minimum  resale price provided for by a fair trade contract filed with the department pursuant to this rule."" (This rule has been revised and recast.  As presently in effect, it provides  inter alia  for the filing of a ""Distilled Spirits Minimum  Retail Price Schedule"" and prohibits sales by off-sale licensees at a price less than that filed with the Department unless written  permission is granted.) Allied Properties  was decided on November 30, 1959, thus disposing of the licensees' contention made in their amended  notice of defense filed in the administrative proceedings on November 6, 1957, that  section 24755  and rule 99 were  unconstitutional.  Although the licensees restated this contention in their petition for writ of mandate filed March 29, 1960,  subsequent to the  Allied Properties  decision, they have not pressed such contention before us. Items involved were: White Horse Scotch, Old Charter straight bourbon, Jim Beam straight bourbon, Paul Jones blended  whiskey, Old Crow straight bourbon, Johnny Walker Red Label Scotch whiskey, Old Hermitage blended whiskey, I. W. Harper  bonded bourbon, Canada Dry blended whiskey and Canada Dry Gin. This wholesaler's form of fair trade agreement was introduced in evidence apparently because its attached price list fixed not  only the ""owners'"" prevailing prices to wholesalers and retailers but also the ""owners'"" resale prices to consumers in California.",
118,"Illustrative of the retailer's covenant is the following paragraph from the fair trade agreement fixing the fair trade price for White  Horse Scotch Whiskey, an item alleged in the first count of the accusation: ""Purchaser agrees that he will not sell advertise for  sale or offer to sell any person, firm or corporation, any of the products named in the Resale Price Schedule as now filed or  hereafter amended at prices below those therein specified.  Seller further agrees that he will not use any of the products listed in  any free deals, or make or offer to make any refunds discounts or concessions, or make or offer to make combination sales or  transactions which shall result in a reduction of the resale prices therein established."" Although there is a variation of language among all agreements, the above is a fair summary of their salient features.  It is to  be noted that the reserved right in the seller to revise the schedule of prices and the agreement of the buyer to be bound thereby  are present in all contracts.",
119,"Our attention has also been directed to the opinion of the Appeals Board in an unrelated case ( Appeal of Moeslein , No. AB- 794) in which it was held that there was no requirement that fair trade contracts be also contracts for the sale of distilled spirits.",
120,"Rule 99(b) required the filing with the Department of a copy of the contract and four copies of minimum resale price schedules.   Attached to each of six of the contracts in evidence as part of the exhibits is a schedule of prices entitled ""Distilled Spirits Fair  Trade Schedule.""",
122,"HN14 [ ]   Government Code section 11515  in relevant part states: ""Parties present at the hearing shall be informed of the  matters to be noticed, and those matters shall be noted in the record, referred to therein, or appended thereto.  Any such party  shall be given a reasonable opportunity on request to refute the officially noticed matters by evidence or by written or oral  presentation of authority, the manner of such refutation to be determined by the agency.""",
123,"That portion of rule 99(b) relevant here provided as follows: ""Amendments to such contracts affecting changes in minimum  resale prices for a brand, type and size of container previously filed shall be filed with the department on or before the fifteenth  day of any calendar month to become effective on the first day of the second succeeding calendar month.  To meet competitive  prices for similar distilled spirits, amendments to fair trade contracts may be filed with the department on or before the fifteenth  day of any calendar month and such amended competitive price shall become effective at the same time the competitive price  for similar distilled spirits shall become effective."" For portions of rule 99 heretofore set forth, see footnote 11,  supra . For example, the finding with respect to Count I was as follows: ""It is true that on or about August 28, 1956, the above-named  licensee, at the above-mentioned premises, did sell alcoholic beverages, to-wit, Scotch Whiskey, at retail to the W. P. Fuller  Company, 301 Mission Street, San Francisco, at a price less than the stipulated minimum resale price provided for in a fair trade  contract duly filed with the Department of Alcoholic Beverage Control as follows: . . ."" Description of brands and prices follows.",
124,"In  Jones v. Maloney (1951) 106 Cal.App.2d 80, 89-90 [234 P.2d 666] , this court said that such ""determination"" was  comparable to a trial court's ""conclusions of law."" Rule 17(e) as it then read provided: ""(e) No alcoholic beverage shall leave the premises of an off-sale licensee for delivery to a  consumer, except pursuant to an order previously received by such licensee. Such alcoholic beverages shall be accompanied  by a delivery order, which order must state the quantity, brand, proof, and price of such alcoholic beverages, and the name and  address of the consumer purchaser, and shall have printed or stamped thereon the name and address of such off-sale licensee.  A copy of such order shall be kept on file by the off-sale licensee for a period of two years after the date of delivery.""",
126,Cohon v. Department of Alcoholic Beverage Control Reporter 218 Cal. App. 2d 332 *; 32 Cal. Rptr. 723 **; 1963 Cal. App. LEXIS 1783 *** Core Terms LexisNexisÂ® Headnotes,
130,Headnotes/Summary Intoxicating Liquors ??Licenses ??Suspension ??Review.  Id.?”Licenses?”Suspension?”Review.  Id.?”Licenses?”Suspension?”Review.  Id.?”Licenses?”Suspension?”Review.,
131,"Id.?”Licenses?”Suspension?”Review.  Statutes?”Construction?”Departmental Construction.  Opinion HN1 [ ]  Cal. Const., art. XX, Â§ 22 , in relevant part, grants to the Department the power to deny, suspend or revoke alcoholic  beverage licenses for good cause where the granting or continuance of such license would be contrary to public welfare or  morals. HN2 [ ]  Â§ 24200, subd. (a) , in relevant part, provides that when the continuance of a license would be contrary to public  welfare or morals it is a ground constituting the basis for suspension or revocation of licenses.",
132,"HN3 [ ]  Â§ 24200, subd. (b) , in relevant part, provides that violation of the rules adopted by the Department or other penal  provisions of this state prohibiting or regulating the sale of alcoholic beverages or intoxicating liquors are grounds constituting a  basis for the suspension or revocation of licenses. HN4 [ ] Â§ 24755, as it read during the period of time covered by the accusation herein, required all retail sales of distilled  spirits to be made pursuant to fair trade contracts executed pursuant to chapter 10 (Â§Â§ 24750-24757) and prohibited any  violations of such contracts.  (Â§ 24750 as it read during the same period of time, and as it now reads, authorized fair trade  contracts fixing the resale price of alcoholic beverages bearing the trademark, brand or name of the producer or owner and in  fair and open competition with others of the same general class.) Unless otherwise indicated all code references hereafter are to the Business and Professions Code. HN5 [ ]  Â§ 99, subd. (f) , and  subds. (a)  and  (b)  of said section, which are also applicable to the instant case, as said rule and  subdivisions read at the time covered by the accusation herein, provided in substance that no manufacturer, manufacturer's  agent, wholesaler or rectifier was permitted to sell distilled spirits in containers bearing brands or names of owners except  pursuant to fair trade contracts; that copies of such fair trade contracts should be filed with the Department, together with copies  of minimum resale price schedules; and that no licensee should sell beverages at retail at a price less than the minimum resale  price fixed by such fair trade contract. Said notice of defense objected to the accusation and requested its dismissal on the following grounds: (1) That  Bus. & Prof. Code, Â§ 24755  and rule 99 of the Cal. Admin. Code are unconstitutional. (2) That the alcoholic beverages subject of the accusation are not in free and open competition with alcoholic beverages of the  same general class produced by others within the meaning of the laws exempting price fixing from the public policy of the state. (3) That the contracts under which the ""'fair trade prices'"" are alleged to have been stipulated or fixed are within the provisions of  the Sherman Anti-Trust Act and the Cartwright Act of the State of California. (4) That rule 99 of the Cal. Admin. Code is violative of the terms of Â§ 25750 (obviously intended as  Â§ 24750 ) of the Bus. & Prof.  Code and  Â§ 11374 of the Gov. Code  and is also inconsistent with the provisions of  Â§ 24200, subd. (b) of the Bus. & Prof. Code . (5) That the fair trade prices are not supported by a valid contract. Exhibit No. 1 was a contract entered into between Affiliated Distillers Brands Corp., a distributor of alcoholic beverages bearing  the label or brand of Ancient Age whiskey, among others, and Excelsior W. & L., a retailer. Exhibit No. 2 was a contract entered into between Haas Bros., the owner of the Cyrus Noble label, and P. & S. Liquor Store, a  retailer.",
133,"These prices were higher than those admittedly charged by the licensees for the two brands to the persons and at the times  charged by the accusation. The record discloses that these exhibits were only received for identification and that the specific objections thereto were  never formally ruled upon.  No error is assigned by the licensees in respect to such omission.  The specific objections interposed  upon the presentation of these exhibits were substantially the same as those specified in the notice of defense which the hearing  officer overruled.  It is also apparent from the hearing officer's proposed decision that the finding against the licensees on the  issue to which these exhibits were directed was in effect a ruling overruling the objection.  (See  Van Haaren v. Whitmore, 2  Cal.App.2d 632, 634 [38 P.2d 829] ;  Citizens' Bank of Los Angeles v. Jones, 121 Cal. 30, 33 [53 P. 354] .) Moreover, both parties  throughout the proceedings below and on this appeal have considered and treated these exhibits as having been admitted into  evidence.  It is well established that  HN6 [ ] where the record shows that a document has been considered by the court and the  parties as being in evidence, a reviewing court will not look for technical reasons to exclude from consideration any part of the  record which was before the court below.  (  Mann v. Mann, 76 Cal.App.2d 32, 41-42 [172 P.2d 369] ;  Estate of Pailhe, 114  Cal.App.2d 658, 664 [251 P.2d 76] ;  Reed v. Reed, 128 Cal.App.2d 786, 790-791 [276 P.2d 36] ; see also  Miller v. Peters, 37  Cal.2d 89, 93 [230 P.2d 803] ;  People v. Nahabedian, 171 Cal.App.2d 302, 306 [340 P.2d 1053] ; and  People v. Lucas, 155  Cal.App.2d 1, 5 [317 P.2d 104] , to the effect that  HN7 [ ] where parties proceed throughout the trial upon a theory that a certain  issue is presented for adjudication both parties are thereafter estopped from thereafter claiming that no such issue was in  controversy.) Furthermore, it should be noted that at the conclusion of the hearing counsel for licensees conceded that there  were no factual disparities involved and that the parties were ""generally agreed on the factual basis.  . . ."" As indicated by this affidavit The Beverage Industry News-Section No. 2 is an industry price list or book printed and published  monthly in the State of California.",
135,"Except for licensees involved, the brands of the alcoholic beverages entailed in the accusation, the dates of sale, the prices  charged, and the persons to whom sold, the essential facts are almost identical.  In  DeMartini  the accusation contained nine  counts.  The first seven counts involved alleged fair trade violation and the last two counts charged the sale and delivery of the  beverages designated in the said first seven counts without accompanying delivery orders and the keeping on file copies  thereof.  The subject matter of the last two counts is not involved in the instant case.  The only other significant point of  distinction does not go to the facts but to disposition of the matter by the trial court.  In  DeMartini  the trial court ordered the  issuance of a peremptory writ commanding the Department to vacate and set aside its decision that the license of the licensees  be suspended, and the appeal from such judgment was by the Department.  (There was also a cross-appeal by the licensees  from that part of the judgment which commanded the Department to take such further steps in the proceedings against them as  were not inconsistent with the trial court's findings of fact and conclusions of law.) Code Civ. Proc., Â§ 1963 ,  subds. 15 ,  19 , and  33 .",
136,"Scovill Mfg. Co. v. Skaggs etc. Drug Stores, 45 Cal.2d 881, 889 [291 P.2d 936] .",
137,Osteopathic Physicians & Surgeons v. California Medical Asso. Reporter 224 Cal. App. 2d 378 *; 36 Cal. Rptr. 641 **; 1964 Cal. App. LEXIS 1480 *** Core Terms LexisNexisÂ® Headnotes,
138,Headnotes/Summary Judgments?”Declaratory Judgments?”Pleading?”Demurrer.  Interference?”With Trade or Calling: Monopolies?”Under Cartwright Act?”Remedies of Individuals.  Id.?”With Trade or Calling.,
139,Id.?”With Trade or Calling: Physicians?”Interference With Practice.  Id.?”With Trade or Calling: Monopolies?”Under Cartwright Act?”Agreements Prohibited: Physicians?”Interference  With Practice.  Physicians?”Power to Regulate Practice.  Id.?”Interference With Practice.  Id.?”Statutes and Regulations.  Id.?”Statutes and Regulations?”Validity.,
140,"Id.?”Professional Organizations.  Opinion Organized in December 1960 -- the new local division of the American Osteopathic Association, which division succeeded the  California Osteopathic Association as such local division when it allegedly was expelled by the American Osteopathic  Association for entering into the merger agreement.",
144,"The merger agreement (omitting the schedules and signatures) is as follows: ""This Agreement is made and entered into this -- day of May, 1961, by and between the California Medical Association, an  unincorporated association, hereinafter sometimes called the 'CMA' and the California Osteopathic Association, a California  corporation, hereinafter sometimes called the 'COA,' to be effective at the time, and upon the terms and conditions as hereinafter  set forth below. ""A.  General. 1.  Purposes .  This agreement is made and entered into for the primary purposes of improving the health services available to the  citizens of the State of California, and expanding medical teaching facilities in the State.  The 'Governor's Committee on the  Study of Medical Aid and Health' has urged immediate expansion of 'medical educational capacity in private and public  institutions' and the establishment of new medical schools.  These purposes are to be further accomplished by the unification,",
145,"consonant with the desires of individual practicing physicians within the State of California, of the separate organizations which  have heretofore existed in parallel structure in the State of California for the practice of medicine and surgery by persons who  hold the degree of Doctor of Osteopathy and those who hold the degree of Doctor of Medicine. By accomplishing such  unification, the parties hereto intend to remove any distinction among the individuals practicing medicine and surgery that is not  related to skill and ability, to make available to the public at large efficient and adequate hospital facilities, and to improve the  educational facilities available for those persons engaged in the practice of medicine and surgery.  It is also a primary purpose of  the parties hereto that upon the students at the present College of Osteopathic Physicians and Surgeons in Los Angeles or its  successor becoming eligible to be licensed by the State Board of Medical Examiners, no new or additional physician and  surgeon's certificates shall thereafter be issued by the State Board of Osteopathic Examiners, whether applied for under Articles  5, 6 or 11 of Chapter 5, Division 2, of the California Business and Professions Code.  It is not the purpose of any party to this  agreement to alter or diminish in any way the practice rights of individual physicians, or to limit their opportunity of future  practice. ""2.  Execution and effective date .  Upon approval of this agreement by the governing boards of the respective parties hereto, this  agreement shall be executed by the Chairman of such board and its Secretary.  Said signatures shall indicate the approval of  that board only. ""This agreement shall become binding and effective when it has been ratified by the House of Delegates of each of the parties  hereto, in accordance with the appropriate rules and regulations of each respective organization. ""The parties hereto recognize and acknowledge that the consummation of this agreement will require certain amendments to be  made to the constitution of the CMA, and that the constitution requires that a proposed amendment, after introduction, lay on the  table for a period of one year prior to its final adoption and effectiveness.  This agreement, however, shall become effective upon  its initial ratification by both houses as above set forth, subject only to the conditions hereinafter set forth. ""3.  Reference to COA .  As hereinafter provided, the COA agrees to change its name, and may in the course of the transition  period change its organic structure.  References to COA shall thus include such organization, although its name shall be  changed, and its organic structure may be changed. ""B.  Matters Related to the Structure of California Medical Association. ""1.  Amendments to Constitution and By-Laws .  The Council of the CMA shall propose to its House of Delegates two  amendments to the constitution, and one amendment to the by-laws of the CMA, as set forth on Exhibits A, B, and C,  respectively, attached hereto and made a part hereof by reference. ""The House of Delegates of the CMA shall, as a condition precedent to the effectiveness of this contract, approve and adopt said  amendments. ""2.  Issuance of new charter to component society .  Upon said amendments becoming finally effective, the COA agrees (a) to  change its name to the Forty-First Medical Society or such other name as may be jointly approved by the Board of Trustees of  the COA and the Executive Secretary of CMA, and thereafter, (b) to apply for a charter as a component society of the CMA.  The  CMA agrees to issue such charter. The terms and conditions of the charter to be applied for, and to be issued, shall be as set  forth on Schedule D attached hereto, and made a part hereof by reference. ""3.  Dissolution of COA .  The parties hereto acknowledge that the structure herein agreed upon for the issuance of a charter to a  statewide organization under such new name is intended only as an interim measure.  It is the intention of both parties hereto  that all persons who are members of such society shall become members of their respective county medical societies as soon  as possible.  However, such arrangement requires the consent of each of the respective county medical societies.  When the  county medical societies ""throughout the State of California agree to take into membership in the respective appropriate county  medical society each of the members of such society, it shall be dissolved.  Upon such dissolution, all of the assets then  remaining of such society shall, so far as is legally possible, be transferred and conveyed to the College of Osteopathic  Physicians and Surgeons, or its successor. ""C.  Practice of Medicine and Use of Degree. ""The parties hereto contemplate that individual members of the COA who hold physicians and surgeons certificates in the State  of California will obtain a degree of Doctor of Medicine from the College of Osteopathic Physicians and Surgeons or its  successor. The CMA agrees to accept such procedures which may be agreed upon by the Advisory Educational Committee,  created by the joint action of the parties hereto, as to the manner in which said degrees shall be granted, provided, however, that",
146,"the agreed procedures do not jeopardize accreditation of the College.  Both parties hereto agree to recognize such degrees as  an M.D. degree issued by an accredited medical school. ""D.  Statutory Amendments. ""1.  Use of Degree .  Both parties hereto agree to use their best efforts to have adopted by the legislature of the State of California  statutory amendments as set forth in Exhibit E attached hereto and made a part hereof by reference.  The parties hereto  contemplate that where persons hold a degree of Doctor of Medicine and a degree of Doctor of Osteopathy, such person shall  be required to elect to practice under one or the other of such degrees, and to advise both the Board of Medical Examiners and  the Board of Osteopathic Examiners of such election. ""2  Boards of Examiners .  Both parties agree to use their best efforts to have adopted by the California Legislature the statutory  amendments relating to the structure of the Board of Medical Examiners of the State of California and regarding the reciprocity  statutes affecting such board, as set forth on Schedule F, attached hereto and made a part hereof. ""3.  Initiative Act .  Both parties hereto agree to use their best efforts to have adopted by the legislature and by the people of the  State of California, the proposal set forth on Exhibit G attached hereto and made a part hereof, regarding the initiative act  establishing the Board of Osteopathic Examiners. ""E.  College of Osteopathic Physicians and Surgeons. ""1.  Agreement with College .  The COA agrees to negotiate a contract with the College of Osteopathic Physicians and Surgeons  covering the matters hereinafter set forth. In the event that the COA is unable to enter into such an agreement, the CMA shall  have its option to declare this contract entirely null and void.  Said contract shall contain: ""(a) A procedure for the issuance of degree of Doctor of Medicine to doctors of Osteopathy presently licensed as physicians and  surgeons in the State of California. ""(b) An agreement that said College shall use its best efforts to obtain approval by the Council on Medical Education and  Hospitals and membership in the Association of American Medical Colleges. ""(c) The name of the College shall be changed, so that neither the word 'osteopathic' nor any similar word shall be used therein. ""2.  Agreements relating to College . ""(a) The parties hereto shall jointly use their best efforts to secure appropriate administrative rules or statutory changes to permit  students currently enrolled in the College of Osteopathic Physicians and Surgeons to be eligible for examination by the licensing  board of their choice: and ""(b) The parties hereto shall agree with each other, and with the College of Osteopathic Physicians and Surgeons as follows: ""(i) The COA shall continue to contribute to the College fund for its operation at the rate of a minimum of $ 225,000.00 per year  until one year from the time all conditions set forth in this agreement are met.  Thereafter, for an additional four years, COA and  its successor shall allocate to the College at least Fifty Dollars ($ 50.00) per regular member per year, payable from the annual  dues it charges its members (not including therein dues it pays to the CMA and the American Medical Association). ""'Regular member' shall not include persons granted reduced rate of dues for any reason.  The CMA and the COA shall jointly  guarantee to the College that it shall receive funds in at least said amount of $ 225,000.00 per year payable quarterly from the  sources herein indicated for an additional period of four years thereafter.  As between the CMA and the COA, the CMA will  agree to supply said funds to said amount during said four year period to the extent that the COA or its successor does not do  so.  The funds to be supplied under this paragraph may come from said organization ""directly, or may come from contributions  from public or private sources, from funds or foundations, or otherwise, so long as they are arranged directly by the persons  associated with and acting for the COA or the CMA. ""(ii) In the event that adequate arrangements for the financing of the College have not been concluded after said period, the  COA and the CMA jointly declare their intention of seeing that the College has adequate operating funds to make up for the loss  of funds which otherwise might have been paid by the COA had this agreement not been entered into.  However, this expression  of intention is made without binding obligation on the parties hereto at this time. ""(c)  Accreditation .  Both parties hereto shall use their best efforts to see that the College of Osteopathic Physicians and  Surgeons, or its successor, is accredited as a medical school as soon as possible.",
147,"""F.  Practice Rights. ""1.  General .  As hereinabove set forth, both parties hereto acknowledge and declare that this agreement is not intended in any  way to limit the practice rights of individual physicians. ""2.  Hospitals .  The parties hereto shall join in a joint statement of policy with respect to practice rights and hospital privileges of  physicians, to be forwarded to all hospitals in the State of California.  A copy of such joint declaration is attached hereto marked  'Exhibit H' and made a part hereof by reference. ""3.  Specialty Rights .  The parties hereto shall issue a joint declaration with respect to the specialty privileges of individual  physicians, a copy of which joint statement is attached hereto marked 'Exhibit I' and made a part hereof by reference.  A copy of  such declaration shall be forwarded to all hospitals, and to all physicians and surgeons in the State of California. ""4.  Removal of Distinctions .  Both parties hereto shall use their best efforts, on a continuing basis, to remove any distinction  between or among persons holding a certificate as physician and surgeon in the State of California and a degree of Doctor of  Medicine, where such distinction is based solely upon the ground that any such person previously held or now holds a degree of  Doctor of Osteopathy. ""5.  Evaluation Groups .  The CMA agrees that the COA may continue for the purpose of serving its own members, such specialty  and other evaluation groups as may have been established by it on or before April 1, 1961, and whose criteria shall be not less  than those shown in a separate document entitled: 'Criteria of Evaluation Groups, California Osteopathic Association' heretofore  delivered to the CMA by the COA.  All records of such evaluation and specialty groups shall be made available to the  Commission on Medical Education of the CMA for examination and review. ""G.  Time Schedule and Conditions. ""1.  Conditions Precedent .  As hereinabove set forth, this agreement shall become effective upon ratification by the House of  Delegates of both of the parties hereto.  However, this agreement shall have no force or effect of any kind, unless the following  conditions are met within the time periods hereinafter set forth. ""(a)  Final adoption of constitutional amendments .  The final adoption of the constitutional amendment set forth on Exhibits A and  B attached hereto shall take place on or before May 15, 1962. ""(b)  Approval of College of Osteopathic Physicians and Surgeons .  The College of Osteopathic Physicians and Surgeons or its  successor shall be approved by the State Board of Medical Examiners on or before May 15, 1962. ""(c)  Hospitals .  On or before May 15, 1962, assurance from the Joint Commission on Accreditation as follows: ""(i) That hospitals presently approved by the COA Committee on Hospitals will be evaluated by them upon application. ""(ii) That Doctors of Osteopathy who have received a degree of Doctor of Medicine from the College of Osteopathic Physicians  and Surgeons, or its successor under the procedure to be determined upon, will be recognized as persons holding degrees of  Doctor of Medicine from an approved medical school for all purposes connected with the approval of hospitals. ""In the event that any of said conditions have not been met by the time herein set forth, the COA shall have the option of waiving  such condition and continuing this agreement in effect, or of terminating this agreement and declaring it to be entirely void and of  no effect. ""When all of such conditions have been either met, or waived by the COA, whether before or at the time limit set forth herein,  each party shall immediately undertake performance of all things to be performed by it herein. ""5.  Time table .  The parties shall immediately begin their efforts to have those legislative amendments set forth on Schedule E  adopted and approved. ""The parties shall attempt to have those legislative and initiative measures approved as set forth on Schedules F and G as soon  as all of the conditions precedent in this agreement have been met.  The parties contemplate that such conditions shall all be  met on or before May 15, 1962. ""H.  Miscellaneous.",
148,"""1.  Phraseology .  The phraseology included herein in connection with the proposed amendments to the constitution and by-laws  of the CMA, proposed statutory enactments and initiative enactment, is used for the purpose of setting forth the general intention  of the parties hereto, and a change in the terminology used shall not be deemed to alter the effect or interfere with the  performance of this agreement in any way, so long as it accomplishes the underlying intention of the respective provisions  involved. ""2.  Further documents and acts .  Each party hereto agrees to execute such other documents and agreements, and to undertake  such other steps as may be necessary, in good faith, to carry out the underlying purpose of this agreement. ""In Witness Whereof, the parties hereto have executed this agreement the day and year first written above, and ratify it as  hereinafter set forth. ""The Agreement Is Hereby Approved by the respective governing boards, subject to ratification as hereinabove set forth. [SEE ILLUSTRATION IN ORIGINAL] The within agreement has been ratified by the respective Houses of Delegates, on the dates indicated below: [SEE ILLUSTRATION IN ORIGINAL]",
153,"People v. Santa Clara Valley Bowling Proprietors' Ass'n Reporter 238 Cal. App. 2d 225 *; 47 Cal. Rptr. 570 **; 1965 Cal. App. LEXIS 1134 ***; 1966 Trade Cas. (CCH) P71,639 Core Terms LexisNexisÂ® Headnotes",
155,Headnotes/Summary Monopolies?”Under Cartwright Act?”Agreements Prohibited.  Id.?”Definitions.  Id.?”Under Cartwright Act?”Agreements Prohibited.,
156,Id.?”Under Cartwright Act?”Agreements Prohibited.  Id.?”Under Cartwright Act?”Agreements Prohibited.  Id.?”Under Cartwright Act?”Offenses.  Id.?”Under Cartwright Act?”Agreements Prohibited.  Id.?”Under Cartwright Act?”Offenses?”Evidence.  Id.?”Under Cartwright Act?”Offenses?”Evidence.,
157,Id.?”Under Cartwright Act?”Offenses.  Id.?”Under Cartwright Act?”Offenses.  Id.?”Under Cartwright Act?”Agreements Prohibited.  Opinion,
158,"""Each defendant is perpetually enjoined and restrained from directly or indirectly or in any manner adopting, advertising,  participating in, adhering to, applying or enforcing any by-law, rule, regulation, agreement, contract, understanding, practice,  procedure or arrangement of any kind or nature whatsoever which has the purpose or effect, directly or indirectly, of requiring as  a condition of eligibility to participate in or to receive a prize or award in any bowling tournament, bowling contest, bowling  program or bowling activity that a bowler must bowl all of his or her league play or other bowling activities in establishments  which are members of BPAA, Northern Association, Santa Clara Association, or any other bowling proprietors' association.""",
159,"Sixty-five per cent of all leagues are formed by trade, professional or fraternal groups; the remainder by bowling establishments  for revenue-producing purposes. The contract specifies the price to be paid for the league's bowling, the period of time during which the league undertakes to  bowl, and the hour and location of its bowling with the establishment. The individual bowler is under an obligation to bowl the  complete season for which the contract is made.  He can withdraw from the league only if he provides a replacement bowler.  Failure to provide a replacement subjects him to possible suspension from membership in the bowlers' associations. The winter season of 30-33 weeks lasts from September through May; the summer season of 12 weeks from May until August. In 1959, Norcal approved 30 such tournaments; in 1962, 48; during the first 8 months of 1963, 34. As a league season consists of about 100 games, usually three games per week in each of the 30-33 weeks of the season,  there are obvious practical limitations in the number of leagues any one bowler can participate in.  A national survey made by  ABC in 1956-57, indicated that 89 per cent of its then 2.5 million members bowled in only one league.",
