Page,Footnote
361,"16  For a similar study of the retail food industry at the national level, see Lebhar, Small Chain Virility a Bar to Monopoly, Chain"
361,"17  Of these latter 119 chains, 66 went out of business altogether, 28 reduced their operations to a single store, and 25 were"
361,"18  On the basis of these facts, one witness concluded: ""The apparent willingness and ability of grocers to expand and create new chain entities at the staggering rate of more than 17 a"
362,"19  Data for 1960, the only year for which such figures are available in the record, reveal a comparable agitation of entry"
362,"20  As to Table 1 in the Appendix of the Court's opinion, this fact is obvious on the face of the table.  As to Table 2 in the"
362,21  See Table 1 in the Appendix of the Court's opinion.
362,22  Table 1 in the Appendix of the Court's opinion is somewhat misleading in that it weights the data from which it is drawn in favor
362,"23  See Table 2 in the Appendix of the Court's opinion.  This table, not a part of the record, was submitted by the Government in"
363,"24  See   ;  ., F. T. C. Docket No. 6653 (April 26, 1965);  .,"
363,25  Evidence introduced by the defendants indicated that the overlap between the Von's and Shopping Bag stores was
363,"26  At the time of the merger in 1960, Von's operated 28 retail grocery stores in the Los Angeles area.  It commenced operation as"
363,"27  Nor is it altogether easy to escape the feeling that it is not so much this merger, but Los Angeles itself, that is being"
364,"28  This is not a ""merger between two small companies to enable the combination to compete more effectively with larger"
364,"29  Mr. Hayden, the president and principal stockholder of Shopping Bag, was advanced in years and was concerned"
364,30  Von's was a considerably more successful competitor than Shopping Bag.  Shopping Bag's net income as a percentage of
364,"31  One single-store operator, located adjacent to one supermarket and within a mile of two others, testified, ""I have often been"
364,"32  See generally Staff Report to the Federal Trade Commission, Economic Inquiry Into Food Marketing, Part I,"
365,"33  See Bok, Section 7 of the Clayton Act and the Merging of Law and Economics,  74 Harv. L. Rev. 226, 302-303 (1960)."
365,"34  In a footnote, the Court emphasized the corollary principle that, ""if concentration is already great, the importance of preventing"
366,"35  As a result of the merger, the market share of the two largest firms increased from 14.4% to 15.5%, and the share of"
372,"1  38 Stat. 719, as amended,  ."
373,"2  In its opinion the Commission found that the services provided by Brown in its franchise program were the ""prime motivation"""
374,"3  See,    ;"
374,"4  See,    ;  . v.   ."
374,"5   of the Sherman Act, 26 Stat. 209,  , declares illegal ""Every contract, combination in the form"
374,"6  See cases cited in note 4,  ."
382,"1  Since consummation of the merger all assets of Bowman, with the exception of cash and marketable securities which were"
383,"2  The Federal Trade Commission alleged: ""(a) Actual or potential competition in the sale and distribution of packaged milk in the Chicago Area will be eliminated or"
384,"3  Of course, the courts of appeals have traditionally framed   writs in the form of compulsory injunctions aimed at"
384,4  For the proposition that the Commission must have express statutory authority to seek injunctions in the courts of appeals two
385,5  Such a holding would especially interfere with the functions Congress has given the Commission in the merger field.  As THE
385,"6  Cf.    , where the Court of"
386,"7  ., H. R. 9424 and S. 3341 and 3424, 84th Cong., 2d Sess. (1956); H. R. 49 and 1574, 89th Cong., 1st Sess. (1965)."
386,"8  Hearings before the Antitrust Subcommittee of the House Committee on the Judiciary, 84th Cong., 2d Sess., ser. No. 15, p. 35"
386,9  They also directed attention to the denial of injunctive relief in   v.  . (C. A. 3d Cir. 1955)
386,"10  Hearings before the Subcommittee on Antitrust and Monopoly of the Senate Committee on the Judiciary on S. 198, S. 721, S."
386,"11  Cf.    , where it was said that to give weight to the nonaction of Congress was to"
387,12  Cf.    .
388,1  See   ;   v.
389,"2  On the contrary, the common view is that such authority is entirely lacking.  See,  ., Kaysen & Turner, Antitrust Policy 258"
389,"3  The Court's opinion asserts, in alleged demonstration of the ""ancillary powers"" which have been inferred on the Commission's"
390,"4  See 51 Cong. Rec. 1963, 13047, 8977 (1914); Rublee, The Original Plan and Early History of the Federal Trade Commission,"
390,"5  Where Congress has determined that it is appropriate for the Commission to seek threshold relief in order to protect the public,"
390,"6  See Elman, Rulemaking Procedures in the FTC's Enforcement of the Merger Law,  78 Harv. L. Rev. 385, 387-388 (1964)."
391,7  The Court declares that these materials are irrelevant because Congress had before it proposals to authorize the Commission
391,"8  Spokesmen for the FTC have frequently acknowledged the availability of such a course.  See,  ., Hearings before the"
391,"9  For example, in some situations the merger of relatively small competitors may result in creation of an enterprise capable of"
392,"10  See Kaysen & Turner, Antitrust Policy 248 (1959); Note,  40 N. Y. U. L. Rev. 771, 772, n. 7 (1965), and cases cited therein."
392,"11  See note 3,  ."
393,"12  Indeed, there is no certainty that the particular court of appeals selected by the FTC on its application for preliminary relief will"
393,"13    , 5 Pet. 190, 193;   , 7 Pet. 634;   . From its excerpt from"
394,"14  Compare   , aff'd,   , with"
394,"15  The Court's opinion today eschews the result in   and fastens instead on footnote 22,   ,"
394,"16    , cited by the Court in connection with its assertion"
396,17  The Commission's estimate in the present case that its proceedings would endure for at least one year seems
396,"18  See    (D. C. W. D. Pa.), aff'd,   , where"
398,"1  Hearings before the Antitrust Subcommittee of the House Committee on the Judiciary, 84th Cong., 2d Sess., ser. No. 15, p. 29"
398,2  The cases referred to were   v.  . (C. A. 3d Cir. 1955) (unreported); and
398,"3  The FTC proposed that § 11 of the Clayton Act be amended to read: ""Whenever the Federal Trade Commission has reason to"
398,4  .
398,"5  H. R. 9424, although worded in greater detail, was in substance like the FTC proposal."
398,"6  Letter to Chairman Celler, in Hearings before the Antitrust Subcommittee of the House Committee on the Judiciary, 85th Cong.,"
399,"7  Hearings,  , note 2, at 45."
399,8  .
399,"9  Hearings before the Antitrust Subcommittee of the House Committee on the Judiciary, 87th Cong., 1st Sess., ser. No. 5, pp."
399,"10  See,  ., statement of Congressman Celler, Hearings,  , note 2, at 156-160; statement of Congressman Patman,"
399,"11  ., The President's Economic Report, submitted to Congress on January 23, 1957, p. 51; Letter from Attorney General"
399,"12  . v.    (D. C. E. D. Mich.), aff'd,   ."
399,13  FTC Chairman Dixon utilized the same forum the following year to plead for legislation which would authorize the Commission
408,"1  Section 20a of the Interstate Commerce Act, as amended, 41 Stat. 494, 49 U. S. C. § 20a, provides in pertinent part: ""(2)  ["
409,"2  Section 5 (2) (a) (i) of the Act, as amended, 41 Stat. 480, 482, 49 U. S. C. § 5 (2) (a) (i),  ["
409,"3  Section 7 of the Clayton Act, as amended, 38 Stat. 731,  ,  ["
410,"4  Section 20a was originally § 437 (1) of H. R. 10453, 66th Cong., which was almost identical to earlier legislation passed by the"
411,"5  Section 5 (11), 49 U. S. C. § 5 (11),  ["
411,"6  Section 11 of the Clayton Act,  ,  ["
412,"7  In   , we held that Congress had entrusted the narrow questions"
413,8  A change in the agreement providing that Greyhound should offer to purchase the stock held by the railroads before the
413,"9  If the dissident REA railroad stockholders exercised their right of first refusal to buy the 1,000,000 shares the other railroad"
418,"1  The Commission found that REA had agreed ""to consider seriously and work toward a long-term agreement between applicant"
418,"2  The ICC's order dealing with the legitimacy of this transaction said: "". . . applicant urgently needs the proceeds of $ 10,000,000"
419,"3  The ""public interest"" of concern to Congress was the problem of watered stock. See,  ., statement of Congressman"
419,"4  Section 20a (2) reads in its entirety: ""It shall be unlawful for any carrier to issue any share of capital stock or any bond or other"
419,"5  Both sections were parts of the Transportation Act of 1920, 41 Stat. 480, 494."
435,1  The opinion of the District Court is reported at   . Its findings of fact and conclusions of
435,2    .
435,"3  We cite percentages of total assets for convenience, not because they are alone a valid indication of a bank's market share."
435,4    .
435,5  Finding of Fact No. 91.
436,6  Finding of Fact No. 134.
436,"7  80 Stat. 7,  .  The Act provides, in relevant part: HN1 ["
437,"8  See,  ., 112 Cong. Rec. 2447 (remarks of Congressman Fino)."
437,"9  38 Stat. 731, as amended, 64 Stat. 1125,  ."
437,"10  26 Stat. 209,  . The United States appealed to this Court only from the dismissal of the § 7 Clayton Act charge."
437,11  Liability for monopolization under § 2 of the Sherman Act was not excluded.
438,"12  Three mergers are in this category: the Nashville merger at issue here; a California merger, see   United States v. Crocker- Anglo National Bank, 263 F.Supp. 125 (D. C. N. D. Cal. 1966) ; and a St. Louis merger. See H. R. Rep. No. 1221, 89th Cong., 2d  Sess., 4. 13  See,  ., 112 Cong. Rec. 2465 (remarks of Congressman Ashley)."
438,"14    . If the District Court failed to review the issues in the case  , as this quotation suggests, it"
438,15  We also find in the Act on intention to alter the traditional methods of defining relevant markets in which to appraise the
439,16  112 Cong. Rec. 2451.  See also 112 Cong. Rec. 2441-2442 (remarks of Congressman Patman); 112 Cong. Rec. 2455
439,"17  Although the District Court erroneously determined the antitrust impact of the merger, its judgment that the merger was not"
440,"18  See,  ., 112 Cong. Rec. 2663 (remarks of Senator Robertson)."
441,"19  See,  ., 112 Cong. Rec. 2459-2460 (remarks of Congressman Multer)."
441,"20  In Finding of Fact No. 181 the District Court concluded that the bank's ""apparently good earnings record"" would have been"
441,"21  The District Court did conclude, in Finding of Fact No. 184, that the merger was ""a business necessity"" for Nashville Bank and"
442,"22  An official of a company specializing in recruitment of executives did testify for the banks at the trial.  In his opinion, recruiting"
442,"23  The record contains the revealing statement by William C. Weaver, Jr., the leading member of the group which owned the"
442,"24  Capital City Bank, founded in 1960 and but one-fourth the size of Nashville Bank and Trust Co., was apparently flourishing."
443,"1  80 Stat. 7,  ."
443,"2  Bank Merger Act of 1966, amending   of the Federal Deposit Insurance Act,"
444,3  The District Court's opinion is unclear as to whether the court considered it necessary to make a discrete finding under the
444,"4  An account of Nashville Bank's overall situation appears in the Court's opinion,  , at 175-176."
453,"1  26 Stat. 209,  ."
453,"2  38 Stat. 731,  ."
453,"3  49 Stat. 1526,  ."
454,4  In their motion for summary judgment respondents also argued that the restraints were permissible as reasonable means to
455,5  Respondents suggest that these requirements were beneficial to a dealer because they helped him win customers who had
461,"1  This is at least the traditional use of the term.  See,     v.  , 8 East 378, 381-382, 103 Eng. Rep. 388, 389."
461,2  See my dissenting opinion in   .
462,"3   1966 Trade Cases para. 71,801, at 82,705."
462,"4  ., at 82,706."
462,5  See   .
464,"*  Together with No. 463, United Shoe Machinery Corp. v. Hanover Shoe, Inc., also on certiorari to the same court."
471,"1  Following the District Court's rejection of United's construction of Judge Wyzanski's opinion and decree, United filed a motion"
472,"2  ""4. All leases made by defendant which include either a ten-year term, or a full capacity clause, or deferred payment charges,"
472,"3  In its opinion on remedy, in answering United's objection to its conclusion that the decree should require United to offer"
472,"4  In its brief on appeal from the judgment and decree rendered in the Government's case, United recognized that ""the principal"
473,"5  The Court of Appeals affirmed this finding and we do not disturb it.  See also n. 16,  .  We also agree with the courts below"
473,"6  The chronology of events with respect to this issue in the lower courts was as follows: After the pretrial conference, a separate  issue which was thought might determine the action was set for trial pursuant to  Fed. Rule Civ. Proc. 42 (b) .  The general  question was whether, assuming that Hanover had paid illegally high prices for machinery leased from United, Hanover had  passed the cost on to its customers, and if so whether it had suffered legal injury for which it could recover under the antitrust  laws. After evidence had been taken on the issue, Judge Goodrich, sitting by designation, ruled that when Hanover had been  forced to pay excessive prices for machinery leased from United, it had suffered a legal injury: ""This excessive price is the"
474,"7  ""It is, however, contended that even if it be assumed the facts show an illegal combination, they do not show injury to the"
474,"8  . v.   , involved an action for reparations brought by"
475,9  The mere fact that a price rise followed an unlawful cost increase does not show that the sufferer of the cost increase was
476,"10  Some courts appear to have treated price discrimination cases under the Robinson-Patman Act as in this category.  See,"
476,"11  The Court of Appeals held that Hanover was entitled to damages only up to June 1, 1955, the date upon which Judge"
477,12  Although the defendants in   had been found guilty of conspiracy to restrain trade and of attempt and
477,"13  Any view of the earlier law of monopolization which would attempt, erroneously in our opinion, to find a requirement of"
478,14  United makes the independent argument that Judge Wyzanski's decision in the Government's case so fundamentally altered
479,15  United has also advanced the argument that because the earliest impact on Hanover of United's lease only policy occurred in
480,"16  United also says that because Hanover's managers would have computed their capital costs differently, they would not in fact"
483,1  I am not alone in this view.  See   ;  . v.
484,"2  Neither, apparently, could Judge Wyzanski.  After the trial court in this action filed its opinion holding that the 1953 decree had"
484,"3    . The language quoted by the Court,  , at 486, n. 3, is not a statement of why the District Court in"
484,"4  ""When the   for determining monopolization under    , it must be concluded that the"
504,"1  In its initial findings, handed down on  January 25, 1965,  , the District Court concluded that Zenith had"
505,"2  The record discloses that Zenith, HRI, and the courts below all considered the damage period to be the four years prior to the"
506,"3  During the proceedings before the District Court on April 2, 1965, the trial judge noted: ""Well, of course, Hazeltine Corporation"
507,"4  There is some indication that the genesis of the stipulation was a pretrial conference, when a question was raised as to"
507,"5  In its brief in this Court, Zenith seems to argue that Hazeltine is estopped to deny that it is bound by the stipulation.  Not only"
507,6  Just as the   issue was not litigated after Hazeltine had made its special appearance and while it had an opportunity to
508,"7  Although HRI and Hazeltine were not parties to this prior litigation and did not enter the settlement agreement, HRI urged that"
508,"8  The Court of Appeals did not disturb, nor do we, the findings of the District Court that HRI and Hazeltine conspired with the"
508,9  Zenith's burden of proving the fact of damage under § 4 of the Clayton Act is satisfied by its proof of   damage flowing from
509,10  Zenith's antitrust claim was asserted as a counterclaim in a patent infringement suit brought by RCA against Zenith and its
509,"11  The computation of damages, prepared by Zenith's experts and accepted by the District Court, see  , reflects"
509,"12  On November 22, 1965, during the further proceedings held to consider damages for England and Australia, Zenith's"
510,"13  HRI's answer to Zenith's counterclaim did not plead a statute of limitations defense.  However, in the course of proceedings"
510,"14  On April 1, 1965, during the further proceedings held by the District Court before judgment, counsel for HRI stated: ""Now, what [counsel for Zenith] is really trying to sell this court is the idea that if he can show that these pools continued after"
511,15  That Zenith failed to make a formal request for a CRPL license during the damage period can properly be attributed to Zenith's
511,"16  In 1960, the Report of the Royal Commission on Patents, Copyright and Industrial Designs was published.  This Report"
511,"17  This letter, brought to Zenith's attention by an ex-Zenith dealer, warned the Motorola dealer that his importation of American-"
512,"18  HRI urges that the trial testimony as to Canada of each of two Zenith officers, Wright and Kaplan, was inconsistent with his"
513,"19  Wright testified that in mid-1955 a representative of the English pool had confirmed his understanding that ""the policy of the"
513,"20  Because the embargo precluded any recovery by Zenith for the first year of the damage period, the trial court modified its"
514,"21  See  , affirmed without specific reference to this"
514,"22  During trial, Wright and Kaplan testified that adjustments could be made by Zenith's English distributor in his shop to adapt"
515,23  Paragraph C of the District Court's injunction prohibits HRI from
515,24  Section 16 provides: HN8 [
516,"25  HRI informs us that Hazeltine, having obtained an early termination of its licensing agreement with CRPL, is now prepared to"
516,26  Having not disturbed the District Court's findings that HRI and Hazeltine were conspiring with English and Australian patent
517,27  The District Court's injunction also included a paragraph barring HRI from continuing to coerce acceptance of its package
517,"28  The District Court concluded: ""Plaintiff's demands that royalties be paid on admittedly unpatented apparatus constitute misuse of its patent rights and plaintiff"
519,29  The record and oral argument in   disclose no basis for the conclusion that Automatic Radio was forced into
520,1  I find it unnecessary to consider the further question whether inclusion of such a provision should be held to violate the antitrust
521,"2  The   Court explicitly distinguished a number of cases of that kind, including"
521,"3    , involved a different question: whether a royalty based solely upon use of the  invention could be collected for use occurring after the patent's expiration. 4  Cf.  ."
522,"5  Baxter, Legal Restrictions on Exploitation of the Patent Monopoly: An Economic Analysis,  76 Yale L. J. 267 (1966). 6  See   ."
522,7  See   .
536,"1  It is true that in its motion for leave to file its counterclaim, Zenith stated that the counterclaim arose out of conduct of HRI"
537,2  Zenith similarly limited its claim for damages in the English and Australian markets to the years 1959-1963 and similarly sought
537,"3  The District Court gave HRI five days to file its amendments to the pleadings ""nunc pro tunc as of"" the date of the argument on"
538,"4  At the time HRI raised its defenses, the release on which it relied was not part of the record, although the record did contain a"
539,"5  On November 1, 1962, a consent decree was entered against the last defendant named in the Government action, which had"
539,"6  The Government suit was   v.  ., Civil Action No. 140-157, which was brought in the Southern"
540,"7  HRI does suggest that the 1955 amendment of  , see 69 Stat. 283, must be understood as an indication of Congress'"
542,"8  If the trial judge had passed upon the question, he well might have concluded that none of the damages sustained by Zenith in"
542,"9  Of course, these percentages are purely hypothetical.  They rest upon an assumption that, if Zenith had sued in 1954 for future"
543,"10  The text of the release was as follows: ""To All To Whom These Presents Shall Come Or May Concern, Greeting: Know ye, That Zenith Radio Corporation and The"
544,"11  The Model Joint Obligations Act, 9B U. L. A. 355, which has been adopted in regard to tort claims by four States, is most"
545,12  Resort may be had to the contract in construing the release since the parole evidence rule is usually understood to be
545,"13  The contract provided in relevant part: ""1. . . . RCA, GE and Western Electric each to grant Zenith and Rauland, respectively, a general release and Zenith and"
546,"1  For example: ""Mr. Kayser [Hazeltine's counsel]: . . . it was not until during the trial, after we had the long Dodds affidavit and all"
546,"2  For example: ""The Court: . . . [Reads from Hazeltine's post-trial brief.]"
547,"3  For example: ""The Court: . . . underlying what you are saying [with respect to the embargoes] is what is said so frequently in"
547,"4  App. 169-223.  The District Judge asked for Zenith's views on the merits of the proposed defenses, but he did not press"
548,5  The opinion of the Court of Appeals gives no indication that its attention was drawn to the remarks of the District Judge during
556,"1  On the nature of the industry, see generally Comment, Trading Stamps, 37 N. Y. U. L. Rev. 1090 (1962). The Commission"
557,2  Often merchandise obtained by redemption is used as a gift.
557,3  The efforts of some retailers to reissue S&H stamps are not involved in this case.  The FTC explicitly left S&H free to seek
558,"4  Though the Court of Appeals referred to state and federal court decisions that approved S&H's practice, our reading of its"
560,5  [
561,6  The Commission did explicitly decline to assess S&H's conduct in light of one leading antitrust case.  In
570,"1  Topco, which is referred to at times in this opinion as the ""association,"" is actually composed of 23 chains of supermarket"
571,"2  In addition to purchasing various items for its members, Topco performs other related functions:  e. g ., it insures that there is  adequate quality control on the products that it purchases; it assists members in developing specifications on certain types of  products ( e. g ., equipment and supplies); and it also aids the members in purchasing goods through other sources. 405 U.S. 596, *596; 92 S. Ct. 1126, **1126; 31 L. Ed. 2d 515, ***515; 1972 U.S. LEXIS 167, ****2; 173 U.S.P.Q.  (BNA) 193, *****193 Page 8 of 19    [****6]   All of the stock in Topco is owned by the members, with the common stock, the only stock having voting  rights, being equally distributed.  The board of directors, which controls the operation of the association, is drawn  from the members and is normally composed   [194]   of high-ranking executive officers of member chains. It is the  board that elects the association's officers and appoints   [*599]   committee members, and it is from the board that  the principal executive officers of Topco must be drawn.  Restrictions on the alienation of stock and the procedure  for selecting all important officials of the association from within the ranks of its members give the members  complete and unfettered control over the operations of the association. Topco was founded in the 1940's by a group of small, local grocery chains, independently owned and operated, that  desired to cooperate to obtain high quality merchandise under private labels in order to compete   [***521]   more  effectively with larger national and regional chains.  3  [****8]   With a line of canned, dairy, and other products, the   [*600]   association began.  It added frozen foods in 1950, fresh produce in 1958, more general merchandise  equipment  [****7]   and supplies in 1960, and a branded bacon and carcass beef selection program in 1966.  By  1964, Topco's members had combined retail sales of more than $ 2   [**1130]   billion; by 1967, their sales totaled  more than $ 2.3 billion, a figure exceeded by only three national grocery chains.  4 Members of the association vary in the degree of market share that they possess in their respective areas.  The  range is from 1.5% to 16%, with the average being approximately 6%.  While it is difficult to compare these figures  with the market shares of larger regional and national chains because of the absence in the record of accurate  statistics for these chains, there is much evidence in the record that Topco members are frequently in as strong a  competitive position in their respective areas as any other chain. The strength of this competitive position is due, in  some measure, to the success of Topco-brand products.  Although only 10% of the total goods sold by Topco  members bear the association's brand names, the profit on these goods is substantial and their very existence has  improved the competitive potential of Topco members with respect to other large and powerful chains. It is apparent that from meager beginnings approximately a quarter of a century ago, Topco has developed into a  purchasing association wholly owned and operated  [****9]   by member chains, which possess much economic  muscle, individually as well as cooperatively. II Section 1  of the Sherman Act provides, in relevant part: HN1"
571,3  The founding members of Topco were having difficulty competing with larger chains. This difficulty was attributable in some
571,"4  The three largest chains are A&P, Safeway, and Kroger."
572,"5  Topco was named in the complaint as the sole defendant, but the complaint clearly charged that its members, while not"
573,"6  Article IX, § 8, of the bylaws provides, in relevant part: ""Unless a member's membership and licensing agreement provides that such member may sell at wholesale, a member may not"
573,"7  When the Government first raised this point in the District Court, Topco objected on the ground that it was at variance with the"
574,"8  The District Court recognized that ""the government has introduced evidence indicating that some applications by Topco"
575,9  It is true that in   the Court dealt with price fixing as well as territorial restrictions.  To the extent that   casts doubt on
575,"10  There has been much recent commentary on the wisdom of   rules.  See,  ., Comment, Horizontal Territorial"
578,"1  The District Court's findings of fact include the following: ""33. A competitively effective private label program to be independently undertaken by a single retailer or chain would require an"
578,"2  There is dictum in the case to the effect that  , aff'd,"
578,"3  I cannot agree with the Court's description of   as being ""on all fours with this case.""  , at 609.    does support the"
579,"4  In summarizing its findings, the District Court made the following statements: ""When the story is seen as a whole, there is no blinking the fact that there is no free commerce in titanium.  Every pound of it is"
579,"5  The District Court clearly decided the case under the ""rule of reason."" It found that there was ""a combination and conspiracy in"
579,"6  ""The appellees did not appeal from the findings and order invalidating [territorial] restraints on resale by distributors. . . ."""
579,"7  ""The Government does not contend that a   violation of the Sherman Act is presented by the practices which are involved"
579,"8  ""We are here confronted with challenged vertical restrictions as to territory and dealers. . . .  These are not horizontal restraints,"
580,"9  Among the facts found by the District Court are the following: private-label brand merchandising, which is beyond the reach of  the small chains acting independently and which by definition depends upon local exclusivity, permits the merchandiser to offer  the public ""lower consumer prices on products of high quality"" and ""to bargain more favorably with national brand"
581,"10  It seems ironical to me that in another antitrust case decided today,  . v.  , p. 562, the Court, in"
581,"11  The national chains market their own private-label products, and these products are available nowhere else than in the stores"
587,"1  The reserve system, publicly introduced into baseball contracts in 1887, see  . v."
588,"2  See generally The Baseball Encyclopedia (1969); L. Ritter, The Glory of Their Times (1966); 1 & 2 H. Seymour, Baseball"
589,"3  These are names only from earlier years.  By mentioning some, one risks unintended omission of others equally celebrated."
589,4  Millions have known and enjoyed baseball. One writer knowledgeable in the field of sports almost assumed that everyone did
589,"5  ""These are the saddest of possible words,"
589,"6  George Bernard Shaw, The Sporting News, May 27, 1943, p. 15, col. 4."
591,"7  Concededly supported by the Major League Baseball Players Association, the players' collective-bargaining representative.  Tr."
591,8  The parties agreed that Flood's participating in baseball in 1971 would be without prejudice to his case.
592,"9  ""And properly so.  Baseball's welfare and future should not be for politically insulated interpreters of technical antitrust statutes"
593,"10  ""What really saved baseball, legally at least, for the next half century was the protective canopy spread over it by the United"
593,11  On remand of the   case the trial court dismissed the complaint at the close of the evidence.  The Second Circuit affirmed
594,"12    , aff'd,   ;"
594,13    ;  . v.
596,14  The case's final chapter is   .
597,15  See also   ;
597,"16  Neville, Baseball and the Antitrust Laws,  16 Fordham L. Rev. 208 (1947); Eckler, Baseball -- Sport or Commerce?,  17 U. Chi."
597,"17  Hearings on H. R. 5307 et al. before the Antitrust Subcommittee of the House Committee on the Judiciary, 85th Cong., 1st"
598,"18  Title   reads: ""Nothing contained in this chapter shall be deemed to change, determine, or otherwise affect the   or"
598,"19     v.  ., 1958 Trade Cases, para. 69,106 (SDNY 1958)."
598,"20     (CA9), cert. denied,   ."
599,"21  See Brief for Respondent in  , No. 204, O. T. 1921, p. 67, and in  , No. 18, O. T. 1953, p. 30.  See also"
600,"22  See Jacobs & Winter, Antitrust Principles and Collective Bargaining by Athletes: Of Superstars in Peonage,  81 Yale L. J. 1  (1971), suggesting present-day irrelevancy of the antitrust issue. 407 U.S. 258, *283; 92 S. Ct. 2099, **2112; 32 L. Ed. 2d 728, ***744; 1972 U.S. LEXIS 138, ****38 Page 18 of 23   The judgment of the Court  [****43]   of Appeals is Affirmed . MR. JUSTICE WHITE joins in the judgment of the Court, and in all but Part I of the Court's opinion. MR. JUSTICE POWELL took no part in the consideration or decision of this case.   Concur by:  BURGER  Concur MR. CHIEF JUSTICE BURGER, concurring. I concur in all but Part I of the Court's opinion but, like MR. JUSTICE DOUGLAS, I have grave reservations   [*286]    as to the correctness of   Toolson v. New York Yankees, Inc., 346 U.S. 356 (1953) ; as he notes in his dissent, he  joined   [***746]   that holding but has ""lived to regret it."" The error, if such it be, is one on which the affairs of a great"
600,"1  While I joined the Court's opinion in   , I have lived to regret it; and I would now"
601,"2  Had this same group boycott occurred in another industry,  . v.   ;"
601,"3  The Court's reliance upon congressional inaction disregards the wisdom of   , where"
601,4  This case gives us for the first time a full record showing the reserve clause in actual operation.
601,"1  Letter from Curt Flood to Bowie K. Kuhn, Dec. 24, 1969, App. 37."
601,"2  As MR. JUSTICE BLACKMUN points out, the reserve system is not novel.  It has been employed since 1887.  See"
602,"3  Petitioner also alleged a violation of state antitrust laws, state civil rights laws, and of the common law, and claimed that he was"
603,4  In the past this Court has not hesitated to change its view as to what constitutes interstate commerce. Compare
603,"5  We said recently that ""in rare cases, decisions construing federal statutes might be denied full retroactive effect, as for instance"
603,"6  The lower courts did not reach the question of whether, assuming the antitrust laws apply, they have been violated.  This"
603,7  Cf.    .
606,"8  Jacobs & Winter, Antitrust Principles and Collective Bargaining by Athletes: Of Superstars in Peonage,  81 Yale L. J. 1, 22  (1971). 407 U.S. 258, *294; 92 S. Ct. 2099, **2118; 32 L. Ed. 2d 728, ***750; 1972 U.S. LEXIS 138, ****58 Page 23 of 23                 Annotation References: Professional sports as within federal antitrust laws.   98 L Ed 73, 99 L Ed 301 . Amusement or educational enterprise as interstate commerce.  26 ALR 359, 47 ALR 782.   End of Document 407 U.S. 258, *296; 92 S. Ct. 2099, **2119; 32 L. Ed. 2d 728, ***751; 1972 U.S. LEXIS 138, ****62   Tidewater Oil Co. v. United States Supreme Court of the United States October 11, 1972, Argued ; December 6, 1972, Decided  No. 71-366  Reporter 409 U.S. 151 *; 93 S. Ct. 408 **; 34 L. Ed. 2d 375 ***; 1972 U.S. LEXIS 159 ****; 1972 Trade Cas. (CCH) P74,258 TIDEWATER OIL CO. v. UNITED STATES ET AL. Prior History:    [****1]   CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE NINTH  CIRCUIT.   Disposition:  Affirmed.   Core Terms Expediting, court of appeals, cases, antitrust case, interlocutory order, interlocutory appeal, final judgment, district  court, appeals, injunction, antitrust, appellate jurisdiction, controlling question, decree, direct appeal, civil action,  interlocutory, questions, legislative history, direct review, termination, provisions, orders, screening, revision LexisNexis® Headnotes Governments > Legislation > Interpretation HN1"
612,1  Tidewater then transferred title to its Western Marketing and Manufacturing Division to Phillips.
613,"2  Tidewater merged with Getty Oil Co. on September 30, 1967.  It has never been contended that that merger altered"
613,"3  In its motion to be dismissed, Tidewater contended ""that Section 7 of the Clayton Act is directed only against the acquiring"
613,"4  Subsequent to the decision by the Ninth Circuit in this case, the Court of Appeals for the Seventh Circuit held that"
613,"5  . We had originally denied certiorari,  ."
613,"6  Act of Sept. 2, 1958, Pub. L. 85-919, 72 Stat. 1770."
613,"7  See also  , modified,  ."
614,"8  Act of Feb. 11, 1903, § 2, 32 Stat. 823, as amended, Act of Mar. 3, 1911, § 291, 36 Stat. 1167; Act of June 9, 1944, c. 239, 58"
614,"9  Act of Mar. 3, 1891, § 2, 26 Stat. 826."
614,"10  Act of Mar. 3, 1891, § 6, 26 Stat. 828."
614,"11  Act of June 6, 1900, c. 803, 31 Stat. 660, amending Act of Mar. 3, 1891, § 7, 26 Stat. 828, as amended, Act of Feb. 18, 1895,"
614,"12  In  , Mr. Justice Brandeis, speaking for the Court,"
614,13  ; see  . v.
614,"14  Act of July 2, 1890, c. 647, 26 Stat. 209."
614,"15  In saying this, we are not to be understood as necessarily accepting today an important premise that underlies § 2 -- namely,"
615,"16  Act of Apr. 14, 1906, c. 1627, 34 Stat. 116."
615,"17  Act of Mar. 3, 1911, § 129, 36 Stat. 1134."
615,"18  Act of Feb. 13, 1925, amending § 129, 43 Stat. 937."
615,"19  Act of Apr. 11, 1928, c. 354, 45 Stat. 422."
615,"20  The 1906 amendment removed the limitation on interlocutory appeal to causes ""in which an appeal from a final decree may be"
615,"21  See S. Rep. No. 2192, 59th Cong., 1st Sess. (1906); H. R. Rep. No. 542, 59th Cong., 1st Sess. (1906); 40 Cong. Rec. 1723,"
615,"22  As to the 1911 amendment, see S. Rep. No. 388, 61st Cong., 2d Sess., pt. 1, p. 53 (1910); H. R. Doc. No. 783, 61st Cong., 2d"
615,"23  Thus, the 1906 amendment, see n. 20,  , was intended to render ineffective certain evasive pleading tactics that had"
